"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Morgan Frost","C","SSM","18.344","67","26","32","17","58","75","137","18.98","0.39","0.48","0.25","0.87","1.12","2.04","1125.11","16.79","1.39","1.71","0.91","3.09","4.0","7.31","14.75","14.37","64.26","49.09","12.99","71.32","92","37","9","25","36.0","4","15","26.67","13","97","13.4","559","1052","53.14"
"","Linus Nyman","LW","KGN","18.185","67","33","18","13","51","64","148","22.3","0.49","0.27","0.19","0.76","0.96","2.21","1165.46","17.39","1.7","0.93","0.67","2.63","3.29","7.62","15.97","14.31","55.67","49.44","15.64","62.7","79","47","10","22","45.45","9","31","29.03","14","95","14.74","23","43","53.49"
"","Dmitry Sokolov","RW","BAR/SBY","19.425","64","31","20","12","51","63","183","16.94","0.48","0.31","0.19","0.8","0.98","2.86","1105.72","17.28","1.68","1.09","0.65","2.77","3.42","9.93","14.85","14.31","51.71","50.05","2.55","54.61","77","64","9","17","52.94","11","41","26.83","11","125","8.8","2","7","28.57"
"","Aaron Luchuk","C","WSR/BAR","20.449","68","28","22","18","50","68","196","14.29","0.41","0.32","0.26","0.74","1.0","2.88","1207.23","17.75","1.39","1.09","0.89","2.49","3.38","9.74","15.62","14.65","55.69","50.64","8.21","60.0","87","58","16","55","29.09","3","25","12.0","9","116","7.76","620","1124","55.16"
"","Jordan Kyrou","RW","SAR","19.368","56","23","27","13","50","63","110","20.91","0.41","0.48","0.23","0.89","1.12","1.96","819.83","14.64","1.68","1.98","0.95","3.66","4.61","8.05","14.2","14.46","56.75","50.19","3.28","61.9","65","40","9","33","27.27","2","13","15.38","12","64","18.75","21","43","48.84"
"","Nick Suzuki","C","OS","18.103","64","29","20","15","49","64","196","14.8","0.45","0.31","0.23","0.77","1.0","3.06","1068.47","16.69","1.63","1.12","0.84","2.75","3.59","11.01","15.59","14.58","54.66","49.44","10.18","60.9","81","52","10","38","26.32","8","26","30.77","11","132","8.33","248","461","53.8"
"","Adam Mascherin","LW","KIT","19.28","67","25","21","6","46","52","174","14.37","0.37","0.31","0.09","0.69","0.78","2.6","1007.36","15.04","1.49","1.25","0.36","2.74","3.1","10.36","14.99","14.08","54.35","48.93","11.92","62.39","68","41","5","33","15.15","4","20","20.0","16","121","13.22","8","17","47.06"
"","Boris Katchouk","LW","SSM","19.247","58","26","20","6","46","52","127","20.47","0.45","0.34","0.1","0.79","0.9","2.19","941.83","16.24","1.66","1.27","0.38","2.93","3.31","8.09","15.09","14.35","64.35","49.61","12.7","71.03","76","31","5","22","22.73","5","23","21.74","16","82","19.51","17","31","54.84"
"","Lucas Chiodo","LW","BAR","18.878","68","24","20","13","44","57","92","26.09","0.35","0.29","0.19","0.65","0.84","1.35","882.07","12.97","1.63","1.36","0.88","2.99","3.88","6.26","13.93","14.1","57.81","48.38","8.78","65.0","65","35","6","21","28.57","4","17","23.53","14","54","25.93","3","7","42.86"
"","Justin Brazeau","RW","NB","19.62","68","22","22","3","44","47","188","11.7","0.32","0.32","0.04","0.65","0.69","2.76","1201.88","17.67","1.1","1.1","0.15","2.2","2.35","9.39","15.24","14.25","50.39","51.02","8.06","52.31","68","62","12","41","29.27","2","29","6.9","8","118","6.78","0","13","0.0"
