"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Sam Miletic","LW","NIAG/LDN","20.37","63","25","18","16","43","59","173","14.45","0.4","0.29","0.25","0.68","0.94","2.75","1081.34","17.16","1.39","1.0","0.89","2.39","3.27","9.6","14.73","14.2","54.7","49.86","17.54","63.79","74","42","7","32","21.88","6","22","27.27","12","119","10.08","10","24","41.67"
"","Tye Felhaber","LW","OTT","19.116","68","23","20","11","43","54","193","11.92","0.34","0.29","0.16","0.63","0.79","2.84","1151.38","16.93","1.2","1.04","0.57","2.24","2.81","10.06","15.03","14.41","47.76","52.78","6.99","51.09","70","67","6","24","25.0","9","39","23.08","8","130","6.15","39","76","51.32"
"","Taylor Raddysh","RW","SSM/ER","19.576","58","23","20","6","43","49","139","16.55","0.4","0.34","0.1","0.74","0.84","2.4","901.58","15.54","1.53","1.33","0.4","2.86","3.26","9.25","15.58","14.64","56.42","50.89","7.65","59.63","65","44","6","30","20.0","8","25","32.0","9","84","10.71","29","56","51.79"
"","Andrei Svechnikov","RW","BAR","17.476","44","30","13","4","43","47","119","25.21","0.68","0.3","0.09","0.98","1.07","2.7","664.82","15.11","2.71","1.17","0.36","3.88","4.24","10.74","15.64","14.56","57.15","49.84","8.92","67.86","57","27","9","24","37.5","7","27","25.93","14","68","20.59","11","26","42.31"
"","Sasha Chmelevski","C","OTT","18.273","68","26","14","11","40","51","215","12.09","0.38","0.21","0.16","0.59","0.75","3.16","1169.39","17.2","1.33","0.72","0.56","2.05","2.62","11.03","15.43","14.34","47.8","51.97","7.68","51.43","72","68","6","38","15.79","6","33","18.18","14","144","9.72","422","754","55.97"
"","Jason Willms","C","BAR","18.604","68","20","19","5","39","44","144","13.89","0.29","0.28","0.07","0.57","0.65","2.12","859.74","12.64","1.4","1.33","0.35","2.72","3.07","10.05","13.5","14.07","58.67","48.42","6.62","63.54","61","35","7","30","23.33","4","24","16.67","9","90","10.0","424","799","53.07"
"","Cliff Pu","C","LDN/KGN","19.289","65","16","22","11","38","49","147","10.88","0.25","0.34","0.17","0.58","0.75","2.26","1113.87","17.14","0.86","1.19","0.59","2.05","2.64","7.92","16.16","14.24","55.82","49.65","17.57","63.72","72","41","4","29","13.79","5","28","17.86","7","90","7.78","339","553","61.3"
"","Kyle Maksimovich","LW","ER","19.521","65","26","12","10","38","48","145","17.93","0.4","0.18","0.15","0.58","0.74","2.23","1030.87","15.86","1.51","0.7","0.58","2.21","2.79","8.44","15.13","14.64","47.82","51.45","9.01","50.83","61","59","5","23","21.74","11","35","31.43","10","87","11.49","44","105","41.9"
"","Kole Sherwood","RW","KIT","20.649","57","23","15","4","38","42","155","14.84","0.4","0.26","0.07","0.67","0.74","2.72","890.59","15.62","1.55","1.01","0.27","2.56","2.83","10.44","15.19","14.34","54.83","49.81","11.55","61.0","61","39","6","23","26.09","5","22","22.73","12","110","10.91","82","162","50.62"
"","Jason Robertson","RW","KGN","18.155","68","23","14","11","37","48","215","10.7","0.34","0.21","0.16","0.54","0.71","3.16","1074.65","15.8","1.28","0.78","0.61","2.07","2.68","12.0","15.37","13.91","53.46","50.36","8.32","58.56","65","46","4","32","12.5","8","40","20.0","11","143","7.69","1","6","16.67"
"","Nicholas Caamano","RW","HAM/FLNT","19.026","64","18","19","9","37","46","186","9.68","0.28","0.3","0.14","0.58","0.72","2.91","934.6","14.6","1.16","1.22","0.58","2.38","2.95","11.94","14.64","14.21","49.84","49.96","5.71","55.24","58","47","9","45","20.0","3","30","10.0","6","111","5.41","15","35","42.86"
"","Matthew Strome","LW","HAM","18.694","65","25","12","9","37","46","134","18.66","0.38","0.18","0.14","0.57","0.71","2.06","1045.48","16.08","1.43","0.69","0.52","2.12","2.64","7.69","14.7","14.21","55.86","49.62","-4.91","54.55","60","50","11","33","33.33","4","24","16.67","10","77","12.99","56","94","59.57"
"","Zachary Magwood","C","BAR","19.404","65","20","17","8","37","45","106","18.87","0.31","0.26","0.12","0.57","0.69","1.63","830.37","12.77","1.45","1.23","0.58","2.67","3.25","7.66","13.67","13.82","58.25","47.97","3.2","60.64","57","37","6","20","30.0","5","21","23.81","9","65","13.85","34","70","48.57"
"","Kevin Hancock","LW","OS","19.543","53","15","22","8","37","45","170","8.82","0.28","0.42","0.15","0.7","0.85","3.21","852.02","16.08","1.06","1.55","0.56","2.61","3.17","11.97","15.7","14.65","55.28","49.7","4.46","58.18","64","46","3","18","16.67","3","31","9.68","9","121","7.44","261","439","59.45"
"","Adam Ruzicka","C","SAR","18.352","63","23","14","5","37","42","160","14.37","0.37","0.22","0.08","0.59","0.67","2.54","871.53","13.83","1.58","0.96","0.34","2.55","2.89","11.02","13.91","14.07","55.16","49.47","5.28","62.86","66","39","9","29","31.03","2","16","12.5","12","115","10.43","514","890","57.75"
"","Luke Burghardt","LW","NB","19.349","68","22","14","12","36","48","147","14.97","0.32","0.21","0.18","0.53","0.71","2.16","1055.04","15.52","1.25","0.8","0.68","2.05","2.73","8.36","15.74","14.17","50.11","50.73","9.31","53.7","58","50","8","36","22.22","7","33","21.21","7","78","8.97","206","411","50.12"
"","Owen Tippett","RW","MISS","18.582","51","25","11","8","36","44","204","12.25","0.49","0.22","0.16","0.71","0.86","4.0","908.55","17.81","1.65","0.73","0.53","2.38","2.91","13.47","15.13","14.07","49.94","50.29","4.64","52.29","57","52","8","27","29.63","7","38","18.42","10","139","7.19","3","13","23.08"
"","Travis Barron","LW","OTT","19.083","67","17","19","6","36","42","175","9.71","0.25","0.28","0.09","0.54","0.63","2.61","1273.39","19.01","0.8","0.9","0.28","1.7","1.98","8.25","14.8","14.39","48.03","51.92","1.15","49.03","76","79","8","32","25.0","2","36","5.56","7","107","6.54","158","328","48.17"
"","Hayden Verbeek","C","SSM","19.916","67","24","11","12","35","47","142","16.9","0.36","0.16","0.18","0.52","0.7","2.12","938.8","14.01","1.53","0.7","0.77","2.24","3.0","9.08","14.05","13.78","62.52","49.35","-2.87","61.22","60","38","13","29","44.83","1","27","3.7","10","86","11.63","464","919","50.49"
"","Ben Jones","C","NIAG","18.555","68","16","19","11","35","46","129","12.4","0.24","0.28","0.16","0.51","0.68","1.9","935.65","13.76","1.03","1.22","0.71","2.24","2.95","8.27","13.54","14.48","53.97","49.39","10.22","57.14","56","42","8","33","24.24","4","15","26.67","4","81","4.94","501","927","54.05"
"","Kirill Maksimov","RW","NIAG","18.295","62","19","16","11","35","46","128","14.84","0.31","0.26","0.18","0.56","0.74","2.06","884.11","14.26","1.29","1.09","0.75","2.38","3.12","8.69","13.76","14.26","53.29","49.07","22.42","65.59","61","32","7","24","29.17","5","21","23.81","7","83","8.43","2","9","22.22"
"","Aidan Dudas","C","OS","17.254","68","23","12","11","35","46","166","13.86","0.34","0.18","0.16","0.51","0.68","2.44","982.13","14.44","1.41","0.73","0.67","2.14","2.81","10.14","14.42","13.92","52.77","49.36","-0.12","53.51","61","53","8","28","28.57","7","25","28.0","8","113","7.08","393","789","49.81"
"","Ivan Lodnia","RW","ER","18.046","62","14","21","10","35","45","158","8.86","0.23","0.34","0.16","0.56","0.73","2.55","981.21","15.83","0.86","1.28","0.61","2.14","2.75","9.66","15.24","14.54","49.13","51.35","9.89","52.68","59","53","7","34","20.59","3","26","11.54","4","98","4.08","255","612","41.67"
"","Allan McShane","C","OSH","17.588","67","13","22","8","35","43","114","11.4","0.19","0.33","0.12","0.52","0.64","1.7","938.33","14.0","0.83","1.41","0.51","2.24","2.75","7.29","13.55","14.13","51.01","50.06","3.24","53.47","54","47","5","19","26.32","4","18","22.22","4","77","5.19","296","541","54.71"
"","Nikita Korostelev","RW","PBO","20.603","64","20","15","3","35","38","148","13.51","0.31","0.23","0.05","0.55","0.59","2.31","987.79","15.43","1.21","0.91","0.18","2.13","2.31","8.99","13.69","14.18","45.54","51.8","7.03","48.18","53","57","4","22","18.18","1","19","5.26","15","107","14.02","1","14","7.14"
"","Drake Rymsha","C","SAR","19.113","68","19","15","15","34","49","151","12.58","0.28","0.22","0.22","0.5","0.72","2.22","982.03","14.44","1.16","0.92","0.92","2.08","2.99","9.23","14.13","14.33","56.13","49.2","1.0","57.38","70","52","7","33","21.21","5","22","22.73","7","96","7.29","548","867","63.21"
"","Robert Thomas","C","HAM/LDN","18.21","49","14","20","12","34","46","74","18.92","0.29","0.41","0.24","0.69","0.94","1.51","845.09","17.25","0.99","1.42","0.85","2.41","3.27","5.25","15.72","14.1","56.68","48.94","10.6","64.77","57","31","3","13","23.08","5","18","27.78","6","43","13.95","432","754","57.29"
"","Tim Gettinger","LW","SSM","19.425","66","20","14","11","34","45","186","10.75","0.3","0.21","0.17","0.52","0.68","2.82","967.67","14.66","1.24","0.87","0.68","2.11","2.79","11.53","14.0","13.87","62.45","49.82","1.98","64.42","67","37","6","25","24.0","3","21","14.29","11","140","7.86","28","51","54.9"
"","Pavel Gogolev","RW","PBO","17.575","66","27","7","6","34","40","150","18.0","0.41","0.11","0.09","0.52","0.61","2.27","1029.45","15.6","1.57","0.41","0.35","1.98","2.33","8.74","13.58","14.19","43.96","50.66","7.01","48.72","57","60","10","22","45.45","7","27","25.93","10","101","9.9","5","17","29.41"
"","Maksim Sushko","RW","OS","18.599","60","21","13","6","34","40","107","19.63","0.35","0.22","0.1","0.57","0.67","1.78","827.82","13.8","1.52","0.94","0.43","2.46","2.9","7.76","14.88","14.11","53.33","49.44","-2.87","53.06","52","46","9","23","39.13","6","22","27.27","6","62","9.68","7","16","43.75"
"","Jack Kopacka","RW","SSM","19.535","66","21","13","6","34","40","162","12.96","0.32","0.2","0.09","0.52","0.61","2.45","882.87","13.38","1.43","0.88","0.41","2.31","2.72","11.01","14.12","14.23","64.02","48.32","0.26","63.74","58","33","4","24","16.67","3","30","10.0","14","108","12.96","20","36","55.56"
"","Ryan Moore","LW","HAM/FLNT","20.438","63","15","18","15","33","48","144","10.42","0.24","0.29","0.24","0.52","0.76","2.29","1016.74","16.14","0.89","1.06","0.89","1.95","2.83","8.5","14.51","13.99","49.48","49.55","1.41","51.67","62","58","8","35","22.86","3","21","14.29","4","88","4.55","403","813","49.57"
"","Jack Studnicka","C","OSH","18.577","66","13","20","7","33","40","150","8.67","0.2","0.3","0.11","0.5","0.61","2.27","912.5","13.83","0.85","1.32","0.46","2.17","2.63","9.86","13.84","14.37","51.1","50.56","13.0","59.79","58","39","6","22","27.27","2","24","8.33","5","104","4.81","478","903","52.93"
"","Serron Noel","RW","OSH","17.106","62","22","11","6","33","39","83","26.51","0.35","0.18","0.1","0.53","0.63","1.34","861.21","13.89","1.53","0.77","0.42","2.3","2.72","5.78","13.88","14.5","51.96","50.19","-3.83","49.47","47","48","12","34","35.29","8","20","40.0","2","29","6.9","5","17","29.41"
"","Isaac Ratcliffe","LW","GUE","18.585","67","24","9","6","33","39","199","12.06","0.36","0.13","0.09","0.49","0.58","2.97","1097.06","16.37","1.31","0.49","0.33","1.8","2.13","10.88","15.52","14.22","44.35","51.54","-7.25","39.84","49","74","6","36","16.67","4","30","13.33","14","133","10.53","11","29","37.93"
"","Curtis Douglas","C","WSR/BAR","17.531","66","21","12","5","33","38","143","14.69","0.32","0.18","0.08","0.5","0.58","2.17","907.85","13.76","1.39","0.79","0.33","2.18","2.51","9.45","13.16","13.95","53.18","49.46","4.48","58.33","56","40","12","47","25.53","2","15","13.33","7","81","8.64","112","243","46.09"
"","Blade Jenkins","LW","SAG","17.098","68","16","17","4","33","37","114","14.04","0.24","0.25","0.06","0.49","0.54","1.68","980.78","14.42","0.98","1.04","0.24","2.02","2.26","6.97","14.35","14.16","46.36","49.42","0.87","46.32","44","51","4","30","13.33","4","18","22.22","8","66","12.12","74","156","47.44"
"","Matthew Struthers","C","OS/NB","17.725","62","22","10","10","32","42","131","16.79","0.35","0.16","0.16","0.52","0.68","2.11","946.05","15.26","1.4","0.63","0.63","2.03","2.66","8.31","15.2","14.06","51.58","48.39","9.97","56.25","54","42","7","33","21.21","5","26","19.23","10","72","13.89","334","728","45.88"
"","Brandon Saigeon","C","HAM","19.258","65","17","15","7","32","39","151","11.26","0.26","0.23","0.11","0.49","0.6","2.32","897.85","13.81","1.14","1.0","0.47","2.14","2.61","10.09","14.43","14.02","56.5","48.6","11.32","65.91","58","30","6","26","23.08","3","13","23.08","8","112","7.14","574","1025","56.0"
"","Johnny Corneil","LW","NIAG","20.085","64","17","15","7","32","39","128","13.28","0.27","0.23","0.11","0.5","0.61","2.0","859.17","13.42","1.19","1.05","0.49","2.23","2.72","8.94","13.7","14.51","53.69","49.48","16.59","62.22","56","34","8","29","27.59","5","22","22.73","4","77","5.19","3","15","20.0"
"","Jordan Ernst","LW","SAR","20.247","68","21","11","6","32","38","170","12.35","0.31","0.16","0.09","0.47","0.56","2.5","761.38","11.2","1.65","0.87","0.47","2.52","2.99","13.4","13.17","13.74","55.21","48.83","3.27","59.26","48","33","6","22","27.27","6","26","23.08","9","122","7.38","9","26","34.62"
"","Akil Thomas","RW","NIAG","17.706","68","16","15","14","31","45","139","11.51","0.24","0.22","0.21","0.46","0.66","2.04","998.09","14.68","0.96","0.9","0.84","1.86","2.71","8.36","13.48","14.24","52.74","50.09","11.14","57.41","62","46","5","24","20.83","4","29","13.79","7","86","8.14","460","889","51.74"
"","Mathieu Foget","RW","MISS/OTT","20.532","68","10","21","8","31","39","107","9.35","0.15","0.31","0.12","0.46","0.57","1.57","1011.11","14.87","0.59","1.25","0.47","1.84","2.31","6.35","15.48","14.09","49.43","52.2","6.57","50.91","56","54","2","19","10.53","3","20","15.0","5","68","7.35","315","584","53.94"
"","Ethan Szypula","C","OS","20.633","67","13","18","8","31","39","140","9.29","0.19","0.27","0.12","0.46","0.58","2.09","950.69","14.19","0.82","1.14","0.5","1.96","2.46","8.84","15.01","14.09","53.48","49.23","-1.78","52.29","57","52","4","21","19.05","2","21","9.52","7","98","7.14","84","181","46.41"
"","Hugo Leufvenius","LW","SAR","18.478","68","14","17","7","31","38","114","12.28","0.21","0.25","0.1","0.46","0.56","1.68","815.2","11.99","1.03","1.25","0.52","2.28","2.8","8.39","13.6","14.1","55.58","49.3","3.5","59.34","54","37","5","14","35.71","0","15","0.0","9","85","10.59","4","14","28.57"
"","Will Bitten","C","HAM","19.187","62","15","16","7","31","38","123","12.2","0.24","0.26","0.11","0.5","0.61","1.98","953.32","15.38","0.94","1.01","0.44","1.95","2.39","7.74","14.84","14.14","55.66","49.61","-5.6","53.0","53","47","5","32","15.62","4","21","19.05","6","70","8.57","183","363","50.41"
"","Jonathan Ang","C","SAR/PBO","19.625","65","14","17","6","31","37","99","14.14","0.22","0.26","0.09","0.48","0.57","1.52","963.39","14.82","0.87","1.06","0.37","1.93","2.3","6.17","14.01","14.07","49.28","50.82","5.72","54.05","60","51","5","20","25.0","2","16","12.5","7","63","11.11","294","541","54.34"
"","Trent Fox","LW","MISS","20.17","60","18","13","6","31","37","165","10.91","0.3","0.22","0.1","0.52","0.62","2.75","909.96","15.17","1.19","0.86","0.4","2.04","2.44","10.88","15.11","14.1","49.17","50.65","6.58","50.5","51","50","5","30","16.67","8","40","20.0","5","95","5.26","222","436","50.92"
"","Evan Bouchard","D","LDN","17.909","67","10","20","15","30","45","172","5.81","0.15","0.3","0.22","0.45","0.67","2.57","1290.48","19.26","0.46","0.93","0.7","1.39","2.09","8.0","14.17","14.3","53.53","49.86","4.95","53.9","76","65","2","11","18.18","2","9","22.22","6","152","3.95","0","0","0.0"
"","Jaden Peca","RW","BAR","18.415","64","11","19","11","30","41","89","12.36","0.17","0.3","0.17","0.47","0.64","1.39","777.43","12.15","0.85","1.47","0.85","2.32","3.16","6.87","13.15","13.92","57.45","48.01","10.98","66.67","56","28","2","19","10.53","2","10","20.0","7","60","11.67","4","17","23.53"
"","Nicolas Hague","D","MISS","18.782","67","20","10","10","30","40","149","13.42","0.3","0.15","0.15","0.45","0.6","2.22","1465.73","21.88","0.82","0.41","0.41","1.23","1.64","6.1","14.2","14.06","48.71","50.63","6.87","51.65","94","88","4","9","44.44","4","8","50.0","12","132","9.09","4","4","100.0"
"","Albert Michnac","C","MISS","18.913","59","13","16","15","29","44","122","10.66","0.22","0.27","0.25","0.49","0.75","2.07","954.27","16.17","0.82","1.01","0.94","1.82","2.77","7.67","14.95","14.23","49.02","51.3","4.34","51.4","55","52","6","21","28.57","3","30","10.0","4","71","5.63","6","12","50.0"
"","Nathan Dunkley","LW","LDN/KGN","17.534","60","14","15","12","29","41","76","18.42","0.23","0.25","0.2","0.48","0.68","1.27","912.1","15.2","0.92","0.99","0.79","1.91","2.7","5.0","14.61","14.09","52.88","49.32","16.52","62.89","61","36","4","19","21.05","5","16","31.25","5","41","12.2","265","479","55.32"
"","Domenico Commisso","C","OSH","19.573","63","18","11","10","29","39","110","16.36","0.29","0.17","0.16","0.46","0.62","1.75","865.59","13.74","1.25","0.76","0.69","2.01","2.7","7.62","13.55","14.21","51.49","50.11","-4.53","47.83","44","48","8","20","40.0","3","21","14.29","7","69","10.14","384","690","55.65"
"","Arthur Kaliyev","RW","HAM","16.225","68","26","3","10","29","39","168","15.48","0.38","0.04","0.15","0.43","0.57","2.47","879.57","12.93","1.77","0.2","0.68","1.98","2.66","11.46","14.2","13.59","55.39","48.59","7.14","62.65","52","31","10","47","21.28","6","25","24.0","10","96","10.42","2","5","40.0"
"","Anthony Salinitri","LW","SAR","19.535","67","19","10","9","29","38","142","13.38","0.28","0.15","0.13","0.43","0.57","2.12","885.42","13.22","1.29","0.68","0.61","1.97","2.58","9.62","14.19","14.15","55.72","49.15","-1.62","56.19","59","46","8","29","27.59","3","23","13.04","8","90","8.89","27","45","60.0"
"","Gabriel Vilardi","C","KGN","18.087","32","14","15","7","29","36","83","16.87","0.44","0.47","0.22","0.91","1.12","2.59","599.67","18.74","1.4","1.5","0.7","2.9","3.6","8.3","16.35","14.58","55.61","50.46","29.17","66.67","44","22","2","12","16.67","2","12","16.67","10","59","16.95","234","459","50.98"
"","Austen Keating","C","OTT","18.53","66","17","12","7","29","36","134","12.69","0.26","0.18","0.11","0.44","0.55","2.03","924.69","14.01","1.1","0.78","0.45","1.88","2.34","8.69","14.16","13.98","47.27","52.37","8.39","52.48","53","48","6","35","17.14","5","21","23.81","6","78","7.69","150","316","47.47"
"","Patrick Fellows","LW","ER","20.25","68","11","18","6","29","35","99","11.11","0.16","0.26","0.09","0.43","0.51","1.46","873.74","12.85","0.76","1.24","0.41","1.99","2.4","6.8","14.19","13.93","45.23","50.87","3.27","47.25","43","48","4","22","18.18","2","19","10.53","5","58","8.62","14","37","37.84"
"","Cole Carter","RW","MISS/KIT","19.198","66","20","9","5","29","34","154","12.99","0.3","0.14","0.08","0.44","0.52","2.33","840.18","12.73","1.43","0.64","0.36","2.07","2.43","11.0","15.33","14.23","51.32","48.99","2.48","54.65","47","39","10","37","27.03","4","21","19.05","6","96","6.25","24","53","45.28"
"","Cole Purboo","RW","WSR","18.248","68","15","13","7","28","35","128","11.72","0.22","0.19","0.1","0.41","0.51","1.88","926.3","13.62","0.97","0.84","0.45","1.81","2.27","8.29","14.12","14.15","51.79","49.45","0.95","52.27","46","42","5","29","17.24","5","20","25.0","5","79","6.33","0","6","0.0"
"","Ryan Suzuki","C","BAR","16.304","64","12","16","7","28","35","73","16.44","0.19","0.25","0.11","0.44","0.55","1.14","789.51","12.34","0.91","1.22","0.53","2.13","2.66","5.55","13.63","14.03","58.6","49.2","1.98","59.77","52","35","4","14","28.57","5","20","25.0","3","39","7.69","100","223","44.84"
"","Marian Studenic","RW","HAM","18.886","62","15","13","7","28","35","101","14.85","0.24","0.21","0.11","0.45","0.56","1.63","890.27","14.36","1.01","0.88","0.47","1.89","2.36","6.81","14.21","14.06","55.54","48.7","12.33","65.52","57","30","6","29","20.69","2","19","10.53","7","53","13.21","5","15","33.33"
"","Logan Brown","C","WSR/KIT","19.535","32","17","11","5","28","33","93","18.28","0.53","0.34","0.16","0.88","1.03","2.91","584.66","18.27","1.74","1.13","0.51","2.87","3.39","9.54","16.0","14.84","53.75","51.16","19.76","60.87","42","27","4","25","16.0","4","12","33.33","9","56","16.07","129","274","47.08"
"","Jake Smith","RW","WSR","20.206","59","14","14","5","28","33","120","11.67","0.24","0.24","0.08","0.47","0.56","2.03","865.54","14.67","0.97","0.97","0.35","1.94","2.29","8.32","14.54","14.25","52.29","50.21","-0.09","48.81","41","43","5","19","26.32","0","12","0.0","9","89","10.11","9","20","45.0"
"","Connor Bunnaman","C","KIT","19.42","66","17","11","5","28","33","154","11.04","0.26","0.17","0.08","0.42","0.5","2.33","895.44","13.57","1.14","0.74","0.34","1.88","2.21","10.32","14.66","14.43","53.16","49.21","-6.14","50.0","46","46","4","19","21.05","4","25","16.0","9","110","8.18","200","339","59.0"
"","Ryan McLeod","C","MISS","17.988","68","17","10","10","27","37","119","14.29","0.25","0.15","0.15","0.4","0.54","1.75","974.05","14.32","1.05","0.62","0.62","1.66","2.28","7.33","15.34","14.02","48.92","50.29","8.35","53.85","56","48","3","18","16.67","3","21","14.29","11","80","13.75","532","981","54.23"
"","Michael Pezzetta","C","SAR/SBY","19.513","62","16","11","10","27","37","135","11.85","0.26","0.18","0.16","0.44","0.6","2.18","846.59","13.65","1.13","0.78","0.71","1.91","2.62","9.57","14.54","14.06","49.38","50.95","-9.99","45.26","43","52","5","30","16.67","4","14","28.57","7","91","7.69","191","321","59.5"
"","Sean Josling","RW","SAR","18.489","68","18","9","5","27","32","122","14.75","0.26","0.13","0.07","0.4","0.47","1.79","793.67","11.67","1.36","0.68","0.38","2.04","2.42","9.22","13.52","14.1","55.69","49.33","-9.56","49.43","43","44","5","23","21.74","8","18","44.44","5","81","6.17","12","22","54.55"
"","Barrett Hayton","C","SSM","17.271","63","12","14","9","26","35","103","11.65","0.19","0.22","0.14","0.41","0.56","1.63","809.22","12.84","0.89","1.04","0.67","1.93","2.6","7.64","14.43","14.42","64.14","48.8","1.72","64.56","51","28","4","14","28.57","1","21","4.76","7","68","10.29","314","640","49.06"
"","Jonah Gadjovich","LW","OS","18.93","42","17","9","9","26","35","152","11.18","0.4","0.21","0.21","0.62","0.83","3.62","662.91","15.78","1.54","0.81","0.81","2.35","3.17","13.76","15.86","14.79","55.27","48.64","5.71","57.3","51","38","10","40","25.0","2","18","11.11","5","94","5.32","3","5","60.0"
"","Renars Krastenbergs","LW","OSH","18.725","61","19","7","6","26","32","134","14.18","0.31","0.11","0.1","0.43","0.52","2.2","813.57","13.34","1.4","0.52","0.44","1.92","2.36","9.88","13.96","14.39","52.4","50.08","-0.02","51.19","43","41","8","24","33.33","7","25","28.0","4","85","4.71","6","17","35.29"
"","Alan Lyszczarczyk","C","OS","19.579","59","18","8","5","26","31","153","11.76","0.31","0.14","0.08","0.44","0.53","2.59","735.67","12.47","1.47","0.65","0.41","2.12","2.53","12.48","14.85","13.96","53.03","49.24","-1.07","55.0","44","36","6","23","26.09","2","20","10.0","10","110","9.09","8","21","38.1"
"","Matthew Philip","C","NIAG","18.297","68","13","13","4","26","30","128","10.16","0.19","0.19","0.06","0.38","0.44","1.88","823.27","12.11","0.95","0.95","0.29","1.89","2.19","9.33","12.94","14.07","49.94","48.01","-3.59","47.5","38","42","4","26","15.38","4","13","30.77","5","89","5.62","98","191","51.31"
"","Cedric Ralph","C","GUE","18.653","68","20","6","3","26","29","91","21.98","0.29","0.09","0.04","0.38","0.43","1.34","925.11","13.6","1.3","0.39","0.19","1.69","1.88","5.9","14.31","14.08","44.5","52.44","-1.99","42.55","40","54","11","27","40.74","2","17","11.76","7","47","14.89","23","37","62.16"
