"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Taylor Raddysh","RW","ER","17.575","67","14","30","12","44","56","163","8.59","0.21","0.45","0.18","0.66","0.84","2.43","1174.4","17.53","0.72","1.53","0.61","2.25","2.86","8.33","16.25","14.01","59.63","50.15","4.72","60.47","78","51","2","21","9.52","4","35","11.43","8","107","7.48","12","18","66.67"
"","Spencer Watson","RW","KGN","19.393","64","26","18","11","44","55","247","10.53","0.41","0.28","0.17","0.69","0.86","3.86","1006.62","15.73","1.55","1.07","0.66","2.62","3.28","14.72","15.46","13.91","59.74","50.53","22.05","70.83","68","28","8","24","33.33","5","47","10.64","13","176","7.39","3","6","50.0"
"","Josh Ho-Sang","RW","NIAG","19.65","66","17","26","15","43","58","106","16.04","0.26","0.39","0.23","0.65","0.88","1.61","1035.13","15.68","0.99","1.51","0.87","2.49","3.36","6.14","14.11","14.25","53.58","48.41","23.49","68.0","68","32","5","17","29.41","3","28","10.71","9","61","14.75","11","26","42.31"
"","Zachary Senyshyn","RW","SSM","18.464","66","32","10","6","42","48","200","16.0","0.48","0.15","0.09","0.64","0.73","3.03","1024.75","15.53","1.87","0.59","0.35","2.46","2.81","11.71","14.33","13.77","51.91","48.0","4.17","52.99","62","55","6","43","13.95","12","43","27.91","14","114","12.28","3","7","42.86"
"","Dylan Sadowy","LW","BAR/SAG","19.456","64","30","10","7","40","47","149","20.13","0.47","0.16","0.11","0.62","0.73","2.33","871.77","13.62","2.06","0.69","0.48","2.75","3.23","10.25","14.12","14.01","49.74","49.86","9.02","58.59","58","41","11","31","35.48","7","29","24.14","12","89","13.48","41","111","36.94"
"","Kyle Maksimovich","LW","ER","17.52","68","19","20","11","39","50","115","16.52","0.28","0.29","0.16","0.57","0.74","1.69","1032.5","15.18","1.1","1.16","0.64","2.27","2.91","6.68","15.31","13.76","58.66","50.32","10.59","65.09","69","37","5","16","31.25","4","21","19.05","10","78","12.82","14","30","46.67"
"","Dante Salituro","RW","OTT","18.834","65","26","12","13","38","51","161","16.15","0.4","0.18","0.2","0.58","0.78","2.48","1030.62","15.86","1.51","0.7","0.76","2.21","2.97","9.37","14.37","14.07","52.47","50.15","7.33","55.96","61","48","5","17","29.41","7","49","14.29","14","95","14.74","231","485","47.63"
"","Gabe  Guertler","C","SSM","20.373","68","15","22","11","37","48","120","12.5","0.22","0.32","0.16","0.54","0.71","1.76","1007.48","14.82","0.89","1.31","0.66","2.2","2.86","7.15","14.64","13.86","50.95","48.03","9.5","57.52","65","48","1","13","7.69","7","29","24.14","7","78","8.97","425","798","53.26"
"","Greg  Betzold","LW","PBO","20.518","65","30","7","8","37","45","191","15.71","0.46","0.11","0.12","0.57","0.69","2.94","1010.27","15.54","1.78","0.42","0.48","2.2","2.67","11.34","14.9","13.7","52.42","48.8","5.49","54.1","66","56","3","22","13.64","10","35","28.57","17","134","12.69","6","12","50.0"
"","Matt Luff","RW","HAM","18.366","61","23","14","8","37","45","129","17.83","0.38","0.23","0.13","0.61","0.74","2.11","1003.11","16.44","1.38","0.84","0.48","2.21","2.69","7.72","14.62","13.77","44.24","50.3","10.78","48.21","54","58","1","11","9.09","13","30","43.33","9","88","10.23","5","12","41.67"
"","Aaron Berisha","RW","LDN","20.534","66","27","10","7","37","44","137","19.71","0.41","0.15","0.11","0.56","0.67","2.08","819.16","12.41","1.98","0.73","0.51","2.71","3.22","10.03","13.34","13.66","63.38","48.12","14.3","75.95","60","19","3","8","37.5","11","26","42.31","13","103","12.62","37","63","58.73"
"","Matthew Tkachuk","LW","LDN","17.764","57","20","16","25","36","61","126","15.87","0.35","0.28","0.44","0.63","1.07","2.21","837.24","14.69","1.43","1.15","1.79","2.58","4.37","9.03","14.3","13.73","69.28","48.4","10.28","75.86","66","21","7","26","26.92","4","27","14.81","9","73","12.33","22","37","59.46"
"","Boris Katchouk","RW","SSM","17.246","63","19","17","7","36","43","94","20.21","0.3","0.27","0.11","0.57","0.68","1.49","904.13","14.35","1.26","1.13","0.46","2.39","2.85","6.24","14.26","13.67","51.29","48.77","8.83","56.7","55","42","7","18","38.89","2","16","12.5","10","60","16.67","27","44","61.36"
"","Will Bitten","C","FLNT","17.186","67","23","13","5","36","41","107","21.5","0.34","0.19","0.07","0.54","0.61","1.6","1039.46","15.51","1.33","0.75","0.29","2.08","2.37","6.18","14.02","14.25","41.5","53.88","4.97","43.86","50","64","6","19","31.58","7","34","20.59","10","54","18.52","107","286","37.41"
"","Aaron Luchuk","C","WSR","18.448","68","23","13","4","36","40","133","17.29","0.34","0.19","0.06","0.53","0.59","1.96","963.05","14.16","1.43","0.81","0.25","2.24","2.49","8.29","13.51","13.9","58.33","49.32","-2.12","56.52","52","40","9","26","34.62","3","26","11.54","11","81","13.58","460","915","50.27"
"","Justin Scott","C","BAR","20.093","67","20","15","12","35","47","143","13.99","0.3","0.22","0.18","0.52","0.7","2.13","1010.64","15.08","1.19","0.89","0.71","2.08","2.79","8.49","14.63","13.87","58.44","48.6","3.03","60.53","69","45","7","20","35.0","6","31","19.35","7","92","7.61","490","891","54.99"
"","Artem Artemov","RW","SAG","18.662","67","14","21","8","35","43","186","7.53","0.21","0.31","0.12","0.52","0.64","2.78","974.92","14.55","0.86","1.29","0.49","2.15","2.65","11.45","13.72","13.96","42.86","51.01","8.57","47.41","55","61","2","11","18.18","2","34","5.88","10","141","7.09","2","10","20.0"
"","Jeremy Bracco","RW","KIT","18.5","49","19","16","7","35","42","86","22.09","0.39","0.33","0.14","0.71","0.86","1.76","753.33","15.37","1.51","1.27","0.56","2.79","3.35","6.85","15.0","13.81","60.24","49.4","10.3","65.43","53","28","5","12","41.67","8","25","32.0","6","49","12.24","1","6","16.67"
"","Mikkel Aagaard","C","NIAG/SBY","19.913","64","16","18","4","34","38","164","9.76","0.25","0.28","0.06","0.53","0.59","2.56","863.01","13.48","1.11","1.25","0.28","2.36","2.64","11.4","13.64","13.83","42.54","50.04","12.94","49.47","47","48","8","28","28.57","3","34","8.82","5","102","4.9","382","784","48.72"
"","Matt Mistele","LW","OSH/SAR","19.916","61","24","10","4","34","38","148","16.22","0.39","0.16","0.07","0.56","0.62","2.43","863.28","14.15","1.67","0.7","0.28","2.36","2.64","10.29","13.89","13.48","55.55","49.61","-6.81","49.44","44","45","5","19","26.32","9","27","33.33","10","102","9.8","9","15","60.0"
"","Jordan Maletta","C","NIAG","20.381","68","20","14","3","34","37","138","14.49","0.29","0.21","0.04","0.5","0.54","2.03","962.32","14.15","1.25","0.87","0.19","2.12","2.31","8.6","14.12","14.47","54.24","50.25","3.45","55.06","49","40","5","24","20.83","8","25","32.0","7","89","7.87","525","975","53.85"
"","Ryan MacInnis","C","KIT","19.587","59","20","13","17","33","50","174","11.49","0.34","0.22","0.29","0.56","0.85","2.95","904.6","15.33","1.33","0.86","1.13","2.19","3.32","11.54","14.87","14.18","60.19","50.36","5.02","63.74","58","33","5","28","17.86","6","45","13.33","9","101","8.91","376","839","44.82"
"","Jordan Kyrou","RW","SAR","17.367","65","15","18","11","33","44","140","10.71","0.23","0.28","0.17","0.51","0.68","2.15","950.15","14.62","0.95","1.14","0.69","2.08","2.78","8.84","13.82","13.7","57.71","48.57","4.26","60.61","60","39","3","18","16.67","3","19","15.79","9","103","8.74","106","211","50.24"
"","Lawson  Crouse","LW","KGN","18.232","49","14","19","8","33","41","153","9.15","0.29","0.39","0.16","0.67","0.84","3.12","811.0","16.55","1.04","1.41","0.59","2.44","3.03","11.32","15.47","14.27","57.45","49.5","-2.78","57.83","48","35","1","11","9.09","2","23","8.7","11","119","9.24","16","32","50.0"
"","Blake Speers","RW","SSM","18.703","68","21","11","10","32","42","172","12.21","0.31","0.16","0.15","0.47","0.62","2.53","989.65","14.55","1.27","0.67","0.61","1.94","2.55","10.43","14.49","13.86","51.12","49.14","0.95","51.82","57","53","1","5","20.0","5","23","21.74","15","144","10.42","349","598","58.36"
"","Steven Lorentz","C","PBO","19.425","58","20","12","9","32","41","124","16.13","0.34","0.21","0.16","0.55","0.71","2.14","832.8","14.36","1.44","0.86","0.65","2.31","2.95","8.93","14.73","13.63","51.52","48.42","7.14","57.14","56","42","8","29","27.59","5","30","16.67","7","65","10.77","302","560","53.93"
"","Nick Betz","RW","ER","20.165","68","17","15","9","32","41","126","13.49","0.25","0.22","0.13","0.47","0.6","1.85","823.2","12.11","1.24","1.09","0.66","2.33","2.99","9.18","14.15","13.76","58.01","51.26","10.62","66.22","49","25","1","12","8.33","4","23","17.39","12","91","13.19","10","32","31.25"
"","Stephen Harper","C","NIAG/HAM","20.48","68","17","15","9","32","41","159","10.69","0.25","0.22","0.13","0.47","0.6","2.34","946.41","13.92","1.08","0.95","0.57","2.03","2.6","10.08","14.36","13.94","47.66","48.79","23.18","60.87","56","36","4","27","14.81","6","36","16.67","7","96","7.29","452","917","49.29"
"","Gustaf Franzen","C","KIT","18.982","66","11","21","8","32","40","105","10.48","0.17","0.32","0.12","0.48","0.61","1.59","864.83","13.1","0.76","1.46","0.56","2.22","2.78","7.28","14.56","14.0","59.89","50.72","-1.64","58.54","48","34","6","19","31.58","4","25","16.0","1","61","1.64","491","908","54.07"
"","Logan DeNoble","C","PBO","17.92","63","19","13","7","32","39","105","18.1","0.3","0.21","0.11","0.51","0.62","1.67","728.52","11.56","1.56","1.07","0.58","2.64","3.21","8.65","15.18","13.95","53.83","48.46","16.83","63.16","48","28","4","14","28.57","7","25","28.0","8","66","12.12","69","119","57.98"
"","Alexander Nylander","LW","MISS","17.542","57","17","14","14","31","45","100","17.0","0.3","0.25","0.25","0.54","0.79","1.75","919.07","16.12","1.11","0.91","0.91","2.02","2.94","6.53","14.74","13.8","51.21","50.34","11.52","59.38","57","39","3","10","30.0","8","21","38.1","6","69","8.7","15","37","40.54"
"","Logan Brown","C","WSR","17.534","59","13","18","11","31","42","100","13.0","0.22","0.31","0.19","0.53","0.71","1.69","817.01","13.85","0.95","1.32","0.81","2.28","3.08","7.34","14.15","13.99","60.59","49.67","9.5","65.82","52","27","2","23","8.7","5","22","22.73","6","55","10.91","451","863","52.26"
"","Alan Lyszczarczyk","C","SBY","17.577","67","13","18","7","31","38","133","9.77","0.19","0.27","0.1","0.46","0.57","1.99","934.31","13.94","0.83","1.16","0.45","1.99","2.44","8.54","13.27","13.41","38.85","49.94","15.05","45.95","51","60","2","18","11.11","4","22","18.18","7","93","7.53","22","51","43.14"
"","Brett McKenzie","C","NB","18.514","66","19","12","7","31","38","149","12.75","0.29","0.18","0.11","0.47","0.58","2.26","972.49","14.73","1.17","0.74","0.43","1.91","2.34","9.19","13.62","13.65","48.72","50.25","-2.84","48.11","51","55","3","17","17.65","7","22","31.82","9","110","8.18","381","855","44.56"
"","Trent Fox","LW","HAM","18.169","67","22","9","6","31","37","169","13.02","0.33","0.13","0.09","0.46","0.55","2.52","948.02","14.15","1.39","0.57","0.38","1.96","2.34","10.7","14.18","13.71","43.01","52.18","2.99","43.75","42","54","5","25","20.0","8","22","36.36","9","122","7.38","131","278","47.12"
"","Pavel Zacha","LW","SAR","18.445","51","16","15","6","31","37","103","15.53","0.31","0.29","0.12","0.61","0.73","2.02","742.27","14.55","1.29","1.21","0.48","2.51","2.99","8.33","14.18","13.98","58.45","47.46","6.58","61.84","47","29","2","11","18.18","5","18","27.78","9","74","12.16","213","454","46.92"
"","Michael McLeod","C","MISS","17.616","57","11","19","11","30","41","124","8.87","0.19","0.33","0.19","0.53","0.72","2.18","943.08","16.55","0.7","1.21","0.7","1.91","2.61","7.89","14.75","14.05","51.23","49.53","11.27","58.89","53","37","2","26","7.69","5","25","20.0","4","73","5.48","508","890","57.08"
"","Mathew Santos","RW","NB","20.504","64","14","16","10","30","40","140","10.0","0.22","0.25","0.16","0.47","0.62","2.19","955.1","14.92","0.88","1.01","0.63","1.88","2.51","8.79","15.12","14.06","53.75","50.59","17.13","60.78","62","40","7","18","38.89","3","29","10.34","4","93","4.3","12","36","33.33"
"","JJ Piccinich","RW","LDN","19.261","66","14","16","5","30","35","106","13.21","0.21","0.24","0.08","0.45","0.53","1.61","699.11","10.59","1.2","1.37","0.43","2.57","3.0","9.1","13.49","13.74","63.22","49.08","9.34","71.67","43","17","4","13","30.77","3","15","20.0","7","78","8.97","14","22","63.64"
"","Mason Kohn","LW","KIT","18.371","60","14","15","9","29","38","123","11.38","0.23","0.25","0.15","0.48","0.63","2.05","843.85","14.06","1.0","1.07","0.64","2.06","2.7","8.75","14.35","13.85","59.18","48.72","0.93","62.35","53","32","7","30","23.33","4","30","13.33","3","63","4.76","244","485","50.31"
"","Jonathan Ang","C","PBO","17.624","68","16","13","7","29","36","94","17.02","0.24","0.19","0.1","0.43","0.53","1.38","998.74","14.69","0.96","0.78","0.42","1.74","2.16","5.65","14.72","13.75","52.21","49.47","-3.34","48.74","58","61","2","13","15.38","6","24","25.0","8","57","14.04","159","349","45.56"
"","Max Jones","LW","LDN","17.577","63","18","11","7","29","36","136","13.24","0.29","0.17","0.11","0.46","0.57","2.16","825.88","13.11","1.31","0.8","0.51","2.11","2.62","9.88","13.03","13.83","63.99","48.98","-0.39","65.06","54","29","7","22","31.82","3","24","12.5","8","90","8.89","10","25","40.0"
"","Jeremiah Addison","LW","OTT","18.903","66","15","14","6","29","35","123","12.2","0.23","0.21","0.09","0.44","0.53","1.86","960.45","14.55","0.94","0.87","0.37","1.81","2.19","7.68","14.68","14.06","53.12","49.98","0.56","52.08","50","46","5","16","31.25","5","27","18.52","5","80","6.25","27","80","33.75"
"","Dmitry Sokolov","RW","SBY","17.424","68","21","8","6","29","35","172","12.21","0.31","0.12","0.09","0.43","0.51","2.53","994.76","14.63","1.27","0.48","0.36","1.75","2.11","10.37","13.29","13.4","39.24","50.81","9.55","42.15","51","70","4","16","25.0","9","33","27.27","8","123","6.5","4","7","57.14"
"","Nathan Bastian","RW","MISS","17.777","64","13","16","6","29","35","113","11.5","0.2","0.25","0.09","0.45","0.55","1.77","1015.1","15.86","0.77","0.95","0.35","1.71","2.07","6.68","14.75","13.94","51.8","49.2","4.33","51.89","55","51","5","26","19.23","5","27","18.52","3","60","5.0","137","270","50.74"
"","Connor Bunnaman","C","KIT","17.419","68","13","16","6","29","35","114","11.4","0.19","0.24","0.09","0.43","0.51","1.68","824.35","12.12","0.95","1.16","0.44","2.11","2.55","8.3","14.28","13.75","59.45","48.84","5.49","64.0","48","27","1","15","6.67","5","26","19.23","7","73","9.59","69","139","49.64"
"","Kris Bennett","C","SAG","19.694","58","21","8","4","29","33","117","17.95","0.36","0.14","0.07","0.5","0.57","2.02","851.14","14.67","1.48","0.56","0.28","2.04","2.33","8.25","13.55","13.7","41.77","51.72","-2.43","40.95","43","62","7","15","46.67","6","28","21.43","8","74","10.81","292","626","46.65"
"","Petrus Palmu","RW","OS","18.169","52","15","14","3","29","32","138","10.87","0.29","0.27","0.06","0.56","0.62","2.65","835.71","16.07","1.08","1.01","0.22","2.08","2.3","9.91","13.9","13.92","48.48","53.83","-0.97","48.39","45","48","2","8","25.0","4","17","23.53","9","113","7.96","9","24","37.5"
"","Jack Kopacka","RW","SSM","17.534","67","16","12","7","28","35","153","10.46","0.24","0.18","0.1","0.42","0.52","2.28","857.35","12.8","1.12","0.84","0.49","1.96","2.45","10.71","13.62","13.43","50.13","47.91","-3.38","48.86","43","45","4","12","33.33","1","13","7.69","11","128","8.59","10","23","43.48"
"","Brendan Lemieux","LW","WSR/BAR","19.505","45","18","10","7","28","35","151","11.92","0.4","0.22","0.16","0.62","0.78","3.36","728.19","16.18","1.48","0.82","0.58","2.31","2.88","12.44","14.65","14.11","61.33","47.94","19.17","62.86","44","26","5","21","23.81","8","42","19.05","5","88","5.68","16","30","53.33"
"","Juho Lammikko","C","KGN","19.631","59","14","14","5","28","33","112","12.5","0.24","0.24","0.08","0.47","0.56","1.9","940.39","15.94","0.89","0.89","0.32","1.79","2.11","7.15","15.48","14.05","57.21","49.8","2.2","59.34","54","37","3","16","18.75","5","25","20.0","6","71","8.45","540","1045","51.67"
"","Niki Petti","C","HAM","19.091","60","15","13","4","28","32","126","11.9","0.25","0.22","0.07","0.47","0.53","2.1","957.81","15.96","0.94","0.81","0.25","1.75","2.0","7.89","14.73","13.92","44.05","51.29","8.75","48.08","50","54","1","18","5.56","6","29","20.69","8","79","10.13","394","766","51.44"
"","Julius  Nattinen","C","BAR","18.67","52","10","17","16","27","43","66","15.15","0.19","0.33","0.31","0.52","0.83","1.27","837.3","16.1","0.72","1.22","1.15","1.93","3.08","4.73","15.09","14.08","59.4","48.64","14.29","67.35","66","32","1","5","20.0","4","16","25.0","5","45","11.11","333","664","50.15"
"","Darby Llewellyn","LW","KIT","19.16","68","19","8","8","27","35","115","16.52","0.28","0.12","0.12","0.4","0.51","1.69","915.21","13.46","1.25","0.52","0.52","1.77","2.29","7.54","14.28","13.85","59.75","50.29","-14.44","49.44","44","45","9","24","37.5","5","20","25.0","5","71","7.04","25","68","36.76"
"","Steve Harland","RW","NB","19.352","53","10","17","7","27","34","55","18.18","0.19","0.32","0.13","0.51","0.64","1.04","721.84","13.62","0.83","1.41","0.58","2.24","2.83","4.57","13.81","13.47","48.6","49.23","4.17","55.26","42","34","2","9","22.22","4","13","30.77","4","33","12.12","4","7","57.14"
"","Mitchell Stephens","C","SAG","18.61","39","18","9","1","27","28","100","18.0","0.46","0.23","0.03","0.69","0.72","2.56","507.83","13.02","2.13","1.06","0.12","3.19","3.31","11.81","13.85","14.06","42.85","50.43","18.19","52.63","30","27","3","6","50.0","9","26","34.62","6","68","8.82","313","578","54.15"
"","James McEwan","C","GUE","18.506","68","17","9","5","26","31","187","9.09","0.25","0.13","0.07","0.38","0.46","2.75","1029.96","15.15","0.99","0.52","0.29","1.51","1.81","10.89","14.07","13.92","30.83","53.78","17.57","41.51","44","62","5","30","16.67","5","26","19.23","7","131","5.34","448","883","50.74"
"","Roy Radke","RW","BAR","18.766","66","13","13","3","26","29","132","9.85","0.2","0.2","0.05","0.39","0.44","2.0","769.9","11.67","1.01","1.01","0.23","2.03","2.26","10.29","14.01","13.77","58.35","49.44","-10.37","50.67","38","37","1","13","7.69","7","28","25.0","5","91","5.49","4","9","44.44"
"","Givani Smith","RW","GUE","17.55","65","15","11","3","26","29","146","10.27","0.23","0.17","0.05","0.4","0.45","2.25","913.3","14.05","0.99","0.72","0.2","1.71","1.91","9.59","14.3","13.88","32.14","53.43","6.93","35.96","32","57","3","13","23.08","5","38","13.16","7","95","7.37","4","7","57.14"
"","Bobby MacIntyre","LW","SSM","19.02","62","14","11","12","25","37","118","11.86","0.23","0.18","0.19","0.4","0.6","1.9","841.65","13.58","1.0","0.78","0.86","1.78","2.64","8.41","13.93","13.57","50.8","47.54","-2.9","50.56","45","44","5","11","45.45","3","13","23.08","6","94","6.38","78","184","42.39"
"","Hayden Verbeek","C","SSM","17.914","63","13","12","8","25","33","71","18.31","0.21","0.19","0.13","0.4","0.52","1.13","800.79","12.71","0.97","0.9","0.6","1.87","2.47","5.32","14.0","13.52","50.89","49.12","3.01","53.01","44","39","5","14","35.71","0","12","0.0","8","45","17.78","399","790","50.51"
"","Connor Chatham","RW","WSR/FLNT","19.88","64","13","12","7","25","32","144","9.03","0.2","0.19","0.11","0.39","0.5","2.25","838.75","13.11","0.93","0.86","0.5","1.79","2.29","10.3","13.59","13.63","49.65","50.64","-2.15","50.0","39","39","5","22","22.73","5","33","15.15","3","89","3.37","13","23","56.52"
"","Matthew Strome","LW","HAM","16.693","61","13","12","7","25","32","83","15.66","0.21","0.2","0.11","0.41","0.52","1.36","912.34","14.96","0.85","0.79","0.46","1.64","2.1","5.46","14.71","13.95","43.67","51.13","7.74","47.42","46","51","3","14","21.43","5","27","18.52","5","42","11.9","9","29","31.03"
"","Travis Barron","LW","OTT","17.082","60","12","13","6","25","31","96","12.5","0.2","0.22","0.1","0.42","0.52","1.6","846.08","14.1","0.85","0.92","0.43","1.77","2.2","6.81","13.99","13.79","51.16","50.61","3.32","54.12","46","39","5","24","20.83","3","20","15.0","4","52","7.69","28","51","54.9"
"","Nathan Todd","C","OTT","19.79","53","11","14","6","25","31","115","9.57","0.21","0.26","0.11","0.47","0.58","2.17","746.06","14.08","0.88","1.13","0.48","2.01","2.49","9.25","14.37","14.03","52.63","49.43","13.67","58.11","43","31","2","17","11.76","3","23","13.04","6","75","8.0","328","650","50.46"
"","Cordell James","C","BAR","19.256","66","12","13","5","25","30","108","11.11","0.18","0.2","0.08","0.38","0.45","1.64","763.88","11.57","0.94","1.02","0.39","1.96","2.36","8.48","13.46","13.77","56.91","47.95","-1.49","57.33","43","32","4","23","17.39","6","29","20.69","2","56","3.57","512","967","52.95"
"","Domenico Commisso","C","OSH","17.572","66","15","10","4","25","29","88","17.05","0.23","0.15","0.06","0.38","0.44","1.33","892.17","13.52","1.01","0.67","0.27","1.68","1.95","5.92","13.69","14.05","46.68","50.28","6.83","49.38","40","41","3","5","60.0","8","26","30.77","4","57","7.02","352","729","48.29"
"","Nick Suzuki","C","OS","16.102","63","14","11","2","25","27","143","9.79","0.22","0.17","0.03","0.4","0.43","2.27","866.6","13.76","0.97","0.76","0.14","1.73","1.87","9.9","13.89","13.83","49.35","53.16","-1.92","47.56","39","43","2","20","10.0","5","26","19.23","7","97","7.22","223","471","47.35"
"","Anthony Stefano","LW","WSR/BAR","19.699","60","17","7","10","24","34","100","17.0","0.28","0.12","0.17","0.4","0.57","1.67","750.16","12.5","1.36","0.56","0.8","1.92","2.72","8.0","13.55","13.81","57.56","50.33","-0.73","59.46","44","30","4","21","19.05","6","23","26.09","7","56","12.5","18","37","48.65"
"","Kenny Huether","RW","OSH","18.111","64","17","7","10","24","34","180","9.44","0.27","0.11","0.16","0.38","0.53","2.81","889.22","13.89","1.15","0.47","0.67","1.62","2.29","12.15","13.99","14.37","46.77","52.02","10.11","51.25","41","39","2","6","33.33","4","24","16.67","11","150","7.33","4","10","40.0"
"","Warren Foegele","C","KGN","19.458","52","8","16","10","24","34","120","6.67","0.15","0.31","0.19","0.46","0.65","2.31","823.88","15.84","0.58","1.17","0.73","1.75","2.48","8.74","15.27","13.93","60.29","49.98","18.47","69.88","58","25","4","23","17.39","3","34","8.82","1","63","1.59","418","745","56.11"
"","Artur Tyanulin","RW","OTT","18.653","67","15","9","9","24","33","87","17.24","0.22","0.13","0.13","0.36","0.49","1.3","811.45","12.11","1.11","0.67","0.67","1.77","2.44","6.43","14.17","13.72","52.16","49.28","6.38","56.16","41","32","3","15","20.0","6","27","22.22","6","45","13.33","4","17","23.53"
