"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Kevin  Labanc","RW","BAR","19.762","65","28","42","13","70","83","177","15.82","0.43","0.65","0.2","1.08","1.28","2.72","1158.96","17.83","1.45","2.17","0.67","3.62","4.3","9.16","14.88","14.06","59.51","48.51","14.09","67.38","95","46","11","29","37.93","4","30","13.33","13","118","11.02","7","15","46.67"
"","Andrew Mangiapane","LW","BAR","19.45","59","32","22","12","54","66","150","21.33","0.54","0.37","0.2","0.92","1.12","2.54","1051.97","17.83","1.83","1.25","0.68","3.08","3.76","8.56","14.98","13.97","60.5","48.25","-1.55","59.23","77","53","6","28","21.43","15","44","34.09","11","78","14.1","37","72","51.39"
"","Hunter Garlent","C","PBO","20.614","68","30","23","16","53","69","202","14.85","0.44","0.34","0.24","0.78","1.01","2.97","1121.94","16.5","1.6","1.23","0.86","2.83","3.69","10.8","14.84","14.16","54.17","49.37","15.33","60.28","85","56","6","26","23.08","9","33","27.27","15","143","10.49","519","978","53.07"
"","Dylan Strome","C","ER","18.527","56","27","25","17","52","69","167","16.17","0.48","0.45","0.3","0.93","1.23","2.98","1102.21","19.68","1.47","1.36","0.93","2.83","3.76","9.09","15.61","14.13","59.05","49.89","9.68","62.02","80","49","7","15","46.67","8","34","23.53","12","118","10.17","524","852","61.5"
"","Alex DeBrincat","RW","ER","17.744","60","36","15","12","51","63","201","17.91","0.6","0.25","0.2","0.85","1.05","3.35","1021.63","17.03","2.11","0.88","0.7","3.0","3.7","11.8","16.39","14.05","59.51","50.32","2.94","59.65","68","46","6","17","35.29","11","47","23.4","19","137","13.87","85","157","54.14"
"","Travis Konecny","RW","OTT/SAR","18.516","60","22","27","18","49","67","177","12.43","0.37","0.45","0.3","0.82","1.12","2.95","949.01","15.82","1.39","1.71","1.14","3.1","4.24","11.19","14.22","13.92","55.12","50.1","16.28","65.74","71","37","1","7","14.29","6","35","17.14","15","135","11.11","35","89","39.33"
"","Eric  Cornel","RW","PBO","19.431","68","22","27","16","49","65","187","11.76","0.32","0.4","0.24","0.72","0.96","2.75","1110.74","16.33","1.19","1.46","0.86","2.65","3.51","10.1","14.96","14.24","54.49","49.96","13.08","58.99","82","57","5","36","13.89","7","22","31.82","10","129","7.75","19","41","46.34"
"","Mike Amadio","C","NB","19.343","68","32","17","5","49","54","172","18.6","0.47","0.25","0.07","0.72","0.79","2.53","1043.36","15.34","1.84","0.98","0.29","2.82","3.11","9.89","14.93","14.12","53.96","50.91","14.41","59.29","67","46","3","12","25.0","11","39","28.21","18","121","14.88","563","1096","51.37"
"","Adam Mascherin","LW","KIT","17.279","65","25","23","10","48","58","185","13.51","0.38","0.35","0.15","0.74","0.89","2.85","1044.04","16.06","1.44","1.32","0.57","2.76","3.33","10.63","14.42","13.82","59.39","50.24","9.13","65.45","72","38","4","17","23.53","5","39","12.82","16","129","12.4","12","26","46.15"
"","Mitchell Marner","RW","LDN","18.366","57","21","26","15","47","62","126","16.67","0.37","0.46","0.26","0.82","1.09","2.21","889.99","15.61","1.42","1.75","1.01","3.17","4.18","8.49","14.07","14.0","69.49","50.92","8.04","72.83","67","25","5","20","25.0","8","27","29.63","8","79","10.13","82","156","52.56"
"","Christian  Dvorak","C","LDN","19.62","59","25","21","11","46","57","124","20.16","0.42","0.36","0.19","0.78","0.97","2.1","852.81","14.45","1.76","1.48","0.77","3.24","4.01","8.72","14.43","13.95","68.97","49.72","18.35","80.46","70","17","12","29","41.38","5","33","15.15","8","62","12.9","487","821","59.32"
"","Michael Dal Colle","LW","KGN/OSH","19.239","60","29","17","7","46","53","166","17.47","0.48","0.28","0.12","0.77","0.88","2.77","980.72","16.35","1.77","1.04","0.43","2.81","3.24","10.16","14.94","14.03","56.42","50.34","13.48","62.86","66","39","6","23","26.09","11","33","33.33","12","110","10.91","34","93","36.56"
"","Christian  Fischer","RW","WSR","18.421","66","27","18","9","45","54","185","14.59","0.41","0.27","0.14","0.68","0.82","2.8","981.83","14.88","1.65","1.1","0.55","2.75","3.3","11.31","14.03","13.96","59.16","48.88","15.42","68.75","66","30","5","27","18.52","10","48","20.83","12","110","10.91","5","19","26.32"
