"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","C.J. Garcia","D","SAG","20.619","64","4","7","4","11","15","92","4.35","0.06","0.11","0.06","0.17","0.23","1.44","1021.78","15.97","0.23","0.41","0.23","0.65","0.88","5.4","13.6","13.82","47.04","51.85","-13.45","38.53","42","67","0","5","0.0","0","7","0.0","4","80","5.0","0","1","0.0"
"","Cole Purboo","RW","WSR","17.249","68","8","3","3","11","14","52","15.38","0.12","0.04","0.04","0.16","0.21","0.76","649.82","9.56","0.74","0.28","0.28","1.02","1.29","4.8","13.9","13.38","51.28","51.25","-8.52","45.45","20","24","3","6","50.0","3","12","25.0","2","34","5.88","1","3","33.33"
"","Logan Brown","C","WSR","18.536","35","6","5","3","11","14","80","7.5","0.17","0.14","0.09","0.31","0.4","2.29","508.78","14.54","0.71","0.59","0.35","1.3","1.65","9.43","15.35","13.71","53.57","49.62","-6.95","51.11","23","22","2","12","16.67","2","16","12.5","2","52","3.85","237","491","48.27"
"","Tyler Rollo","LW","PBO","19.132","56","4","7","2","11","13","41","9.76","0.07","0.12","0.04","0.2","0.23","0.73","662.37","11.83","0.36","0.63","0.18","1.0","1.18","3.71","13.43","13.46","49.55","50.73","-13.37","40.0","24","36","2","2","100.0","1","9","11.11","1","30","3.33","201","475","42.32"
"","Matyas Svoboda","LW","PBO","17.706","62","8","3","2","11","13","55","14.55","0.13","0.05","0.03","0.18","0.21","0.89","678.73","10.95","0.71","0.27","0.18","0.97","1.15","4.86","13.79","13.35","49.28","49.35","-8.11","41.67","25","35","3","8","37.5","0","13","0.0","5","34","14.71","2","4","50.0"
"","DJ Busdeker","RW","SAG","16.978","39","6","5","2","11","13","59","10.17","0.15","0.13","0.05","0.28","0.33","1.51","526.46","13.5","0.68","0.57","0.23","1.25","1.48","6.72","14.29","13.97","47.47","52.4","-0.82","45.45","25","30","2","10","20.0","2","13","15.38","2","36","5.56","7","11","63.64"
"","Josh Coyle","C","PBO","19.141","63","10","1","1","11","12","77","12.99","0.16","0.02","0.02","0.17","0.19","1.22","721.83","11.46","0.83","0.08","0.08","0.91","1.0","6.4","13.65","13.54","49.35","49.84","0.35","49.21","31","32","1","6","16.67","3","21","14.29","6","50","12.0","173","295","58.64"
"","Benjamin Gleason","D","HAM","18.481","66","5","5","13","10","23","93","5.38","0.08","0.08","0.2","0.15","0.35","1.41","900.13","13.64","0.33","0.33","0.87","0.67","1.53","6.2","13.53","13.39","52.69","48.48","11.37","59.55","53","36","0","3","0.0","0","4","0.0","5","86","5.81","1","1","100.0"
"","Mac Hollowell","D","SSM","17.974","63","3","7","11","10","21","44","6.82","0.05","0.11","0.17","0.16","0.33","0.7","1020.91","16.2","0.18","0.41","0.65","0.59","1.23","2.59","13.52","13.7","54.55","49.06","-0.13","54.84","68","56","0","1","0.0","1","2","50.0","2","41","4.88","1","1","100.0"
"","Luke Kutkevicius","C","HAM","18.481","66","5","5","10","10","20","62","8.06","0.08","0.08","0.15","0.15","0.3","0.94","840.24","12.73","0.36","0.36","0.71","0.71","1.43","4.43","13.65","13.3","51.8","49.23","-6.16","48.15","39","42","2","5","40.0","1","18","5.56","2","39","5.13","304","637","47.72"
"","Otto Makinen","C","SSM","18.325","68","4","6","7","10","17","54","7.41","0.06","0.09","0.1","0.15","0.25","0.79","713.14","10.49","0.34","0.5","0.59","0.84","1.43","4.54","14.11","13.57","54.68","48.95","-15.63","43.28","29","38","2","6","33.33","0","11","0.0","2","37","5.41","229","464","49.35"
"","Elijah Roberts","D","KIT","17.649","65","4","6","7","10","17","55","7.27","0.06","0.09","0.11","0.15","0.26","0.85","1030.17","15.85","0.23","0.35","0.41","0.58","0.99","3.2","13.68","13.82","48.3","51.23","3.5","51.72","60","56","2","4","50.0","1","4","25.0","1","47","2.13","1","1","100.0"
"","Giovanni Vallati","D","KIT","16.57","59","4","6","6","10","16","59","6.78","0.07","0.1","0.1","0.17","0.27","1.0","852.99","14.46","0.28","0.42","0.42","0.7","1.13","4.15","13.62","13.53","48.16","51.42","9.28","55.56","50","40","1","3","33.33","0","2","0.0","3","54","5.56","5","14","35.71"
"","Noah Carroll","D","GUE/SSM","18.79","62","3","7","6","10","16","85","3.53","0.05","0.11","0.1","0.16","0.26","1.37","839.71","13.54","0.21","0.5","0.43","0.71","1.14","6.07","13.62","13.82","47.92","50.02","4.61","54.84","51","42","0","4","0.0","0","4","0.0","3","77","3.9","0","2","0.0"
"","Dante Salituro","RW","LDN","19.836","30","6","4","4","10","14","45","13.33","0.2","0.13","0.13","0.33","0.47","1.5","389.16","12.97","0.93","0.62","0.62","1.54","2.16","6.94","14.25","13.77","60.21","51.7","4.47","64.1","25","14","0","5","0.0","2","8","25.0","4","32","12.5","1","3","33.33"
"","Danil Antropov","LW","OSH","15.74","60","5","5","3","10","13","65","7.69","0.08","0.08","0.05","0.17","0.22","1.08","616.96","10.28","0.49","0.49","0.29","0.97","1.26","6.32","12.65","13.14","47.21","47.86","-1.28","46.94","23","26","0","0","0.0","1","12","8.33","4","53","7.55","4","8","50.0"
"","Jesse Barwell","LW","SAG","19.36","63","4","6","3","10","13","77","5.19","0.06","0.1","0.05","0.16","0.21","1.22","731.11","11.6","0.33","0.49","0.25","0.82","1.07","6.32","13.87","13.67","46.99","52.25","-4.14","43.75","28","36","0","3","0.0","2","14","14.29","2","60","3.33","225","438","51.37"
"","Hunter Holmes","C","FLNT","16.644","67","5","5","2","10","12","58","8.62","0.07","0.07","0.03","0.15","0.18","0.87","618.43","9.23","0.49","0.49","0.19","0.97","1.16","5.63","12.28","13.58","46.01","51.34","-10.67","42.0","21","29","1","8","12.5","1","13","7.69","3","37","8.11","190","444","42.79"
