"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Mike Davies","LW","SAG","19.612","39","4","3","0","7","7","57","7.02","0.1","0.08","0.0","0.18","0.18","1.46","389.14","9.98","0.62","0.46","0.0","1.08","1.08","8.79","13.15","13.99","44.36","52.42","-9.07","32.26","10","21","1","7","14.29","1","11","9.09","2","39","5.13","5","19","26.32"
"","Matt  Spencer","D","PBO","19.483","60","4","2","11","6","17","65","6.15","0.07","0.03","0.18","0.1","0.28","1.08","878.93","14.65","0.27","0.14","0.75","0.41","1.16","4.44","13.27","13.64","49.57","50.12","1.09","50.55","46","45","1","1","100.0","0","3","0.0","3","61","4.92","1","1","100.0"
"","Cole Candella","D","HAM","18.59","65","2","4","5","6","11","83","2.41","0.03","0.06","0.08","0.09","0.17","1.28","991.46","15.25","0.12","0.24","0.3","0.36","0.67","5.02","13.48","13.8","53.16","50.18","-3.99","48.54","50","53","0","0","0.0","0","2","0.0","2","81","2.47","0","2","0.0"
"","Tyler Nother","D","WSR","18.607","64","1","5","4","6","10","35","2.86","0.02","0.08","0.06","0.09","0.16","0.55","664.51","10.38","0.09","0.45","0.36","0.54","0.9","3.16","13.91","13.32","51.25","50.59","-4.48","48.98","24","25","0","1","0.0","0","3","0.0","1","31","3.23","0","1","0.0"
"","Eemeli Rasanen","D","KGN","17.534","66","3","3","4","6","10","51","5.88","0.05","0.05","0.06","0.09","0.15","0.77","1176.29","17.82","0.15","0.15","0.2","0.31","0.51","2.6","14.47","13.63","46.69","49.48","6.58","48.54","50","53","0","1","0.0","1","2","50.0","2","48","4.17","0","0","0.0"
"","Shaun Bily","C","ER","18.566","36","3","3","3","6","9","40","7.5","0.08","0.08","0.08","0.17","0.25","1.11","416.76","11.58","0.43","0.43","0.43","0.86","1.3","5.76","13.18","13.34","57.52","52.13","-10.93","50.0","21","21","0","1","0.0","2","8","25.0","1","31","3.23","56","142","39.44"
"","Curtis Douglas","C","BAR","16.531","53","4","2","3","6","9","45","8.89","0.08","0.04","0.06","0.11","0.17","0.85","478.6","9.03","0.5","0.25","0.38","0.75","1.13","5.64","12.03","13.53","38.73","49.45","-3.7","39.53","17","26","0","10","0.0","1","5","20.0","3","30","10.0","132","284","46.48"
"","Cam Dineen","D","NB","18.245","29","5","1","3","6","9","38","13.16","0.17","0.03","0.1","0.21","0.31","1.31","481.13","16.59","0.62","0.12","0.37","0.75","1.12","4.74","13.71","13.94","42.73","50.37","4.13","49.18","30","31","1","1","100.0","1","3","33.33","3","34","8.82","0","0","0.0"
"","Logan Stanley","D","WSR","18.311","35","1","5","3","6","9","81","1.23","0.03","0.14","0.09","0.17","0.26","2.31","547.71","15.65","0.11","0.55","0.33","0.66","0.99","8.87","14.65","14.17","52.81","51.03","-10.72","49.06","26","27","0","1","0.0","0","2","0.0","1","78","1.28","0","0","0.0"
"","Cole Tymkin","RW","LDN","17.451","45","2","4","2","6","8","26","7.69","0.04","0.09","0.04","0.13","0.18","0.58","416.73","9.26","0.29","0.58","0.29","0.86","1.15","3.74","13.72","13.4","58.23","51.45","-10.95","50.0","16","16","1","7","14.29","1","6","16.67","0","13","0.0","3","9","33.33"
"","David Pearce","LW","OTT","18.686","65","3","3","2","6","8","38","7.89","0.05","0.05","0.03","0.09","0.12","0.58","614.89","9.46","0.29","0.29","0.2","0.59","0.78","3.71","12.62","13.4","44.56","51.48","-18.48","30.77","16","36","0","5","0.0","1","4","25.0","2","29","6.9","20","35","57.14"
"","Jacob Friend","D","OS","19.138","43","0","6","2","6","8","62","0.0","0.0","0.14","0.05","0.14","0.19","1.44","689.25","16.03","0.0","0.52","0.17","0.52","0.7","5.4","14.49","13.87","61.92","50.07","-1.19","61.97","44","27","0","1","0.0","0","0","0.0","0","61","0.0","0","0","0.0"
"","Austin Osmanski","D","MISS","18.382","55","2","4","2","6","8","66","3.03","0.04","0.07","0.04","0.11","0.15","1.2","693.18","12.6","0.17","0.35","0.17","0.52","0.69","5.71","12.87","13.46","51.29","50.2","-20.69","40.3","27","40","1","1","100.0","0","2","0.0","1","63","1.59","0","0","0.0"
"","Cedric Schiemenz","C","KIT","17.547","49","3","3","1","6","7","33","9.09","0.06","0.06","0.02","0.12","0.14","0.67","486.88","9.94","0.37","0.37","0.12","0.74","0.86","4.07","13.53","12.93","46.38","48.94","-12.66","40.0","16","24","1","7","14.29","2","4","50.0","0","22","0.0","85","216","39.35"
"","Jaden Peca","RW","BAR","17.416","56","1","5","1","6","7","43","2.33","0.02","0.09","0.02","0.11","0.12","0.77","494.69","8.83","0.12","0.61","0.12","0.73","0.85","5.22","11.95","13.34","39.13","50.09","-13.12","31.71","13","28","1","6","16.67","0","7","0.0","0","30","0.0","2","5","40.0"
"","Kyle Heitzner","C","BAR","17.169","52","5","1","1","6","7","44","11.36","0.1","0.02","0.02","0.12","0.13","0.85","430.14","8.27","0.7","0.14","0.14","0.84","0.98","6.14","12.12","13.57","39.12","49.8","-12.6","29.41","10","24","1","4","25.0","1","6","16.67","3","34","8.82","37","76","48.68"
"","Mitchell Byrne","D","ER","18.538","62","2","4","1","6","7","44","4.55","0.03","0.06","0.02","0.1","0.11","0.71","758.04","12.23","0.16","0.32","0.08","0.47","0.55","3.48","13.82","13.63","61.22","48.93","-1.88","61.04","47","30","1","4","25.0","0","4","0.0","1","36","2.78","0","1","0.0"
"","Grayden Gottschalk","RW","OSH","18.415","42","3","3","0","6","6","44","6.82","0.07","0.07","0.0","0.14","0.14","1.05","356.81","8.5","0.5","0.5","0.0","1.01","1.01","7.4","12.54","13.26","47.41","47.78","-23.08","26.92","7","19","0","2","0.0","0","5","0.0","3","37","8.11","46","107","42.99"
"","Austin Hall","D","GUE","19.442","20","1","5","0","6","6","15","6.67","0.05","0.25","0.0","0.3","0.3","0.75","263.36","13.17","0.23","1.14","0.0","1.37","1.37","3.42","13.52","14.02","41.95","52.01","6.69","55.17","16","13","1","1","100.0","0","0","0.0","0","14","0.0","0","1","0.0"
"","Nick Grima","D","PBO/SAR","17.531","60","2","3","8","5","13","65","3.08","0.03","0.05","0.13","0.08","0.22","1.08","734.61","12.24","0.16","0.25","0.65","0.41","1.06","5.31","12.75","13.47","48.68","49.92","3.39","51.85","42","39","0","0","0.0","0","2","0.0","2","63","3.17","0","0","0.0"
"","Johnathon Schaefer","D","NIAG","18.453","62","1","4","7","5","12","50","2.0","0.02","0.06","0.11","0.08","0.19","0.81","977.87","15.77","0.06","0.25","0.43","0.31","0.74","3.07","13.27","13.68","46.75","51.04","2.23","46.55","54","62","0","1","0.0","0","1","0.0","1","48","2.08","0","1","0.0"
"","Alex Di Carlo","D","OSH/FLNT","19.48","61","1","4","5","5","10","81","1.23","0.02","0.07","0.08","0.08","0.16","1.33","874.55","14.34","0.07","0.27","0.34","0.34","0.69","5.56","12.49","13.38","48.47","48.55","-5.28","46.51","40","46","0","1","0.0","0","0","0.0","1","80","1.25","0","0","0.0"
"","Owen Lalonde","D","SBY","16.625","64","2","3","4","5","9","59","3.39","0.03","0.05","0.06","0.08","0.14","0.92","886.23","13.85","0.14","0.2","0.27","0.34","0.61","3.99","12.94","13.33","45.39","49.11","-11.5","37.23","35","59","0","2","0.0","0","3","0.0","2","54","3.7","1","1","100.0"
"","Isaac Nurse","RW","HAM","17.506","54","2","3","3","5","8","40","5.0","0.04","0.06","0.06","0.09","0.15","0.74","435.28","8.06","0.28","0.41","0.41","0.69","1.1","5.51","13.01","13.1","51.69","48.9","-5.8","50.0","13","13","1","3","33.33","1","13","7.69","0","24","0.0","0","2","0.0"
"","Barret Kirwin","C","GUE","16.578","55","4","1","3","5","8","38","10.53","0.07","0.02","0.05","0.09","0.15","0.69","585.05","10.64","0.41","0.1","0.31","0.51","0.82","3.9","13.17","13.75","39.31","53.19","-17.92","24.53","13","40","1","7","14.29","0","8","0.0","3","23","13.04","212","416","50.96"
"","Stephen Gibson","D","MISS","19.54","65","2","3","3","5","8","58","3.45","0.03","0.05","0.05","0.08","0.12","0.89","917.39","14.11","0.13","0.2","0.2","0.33","0.52","3.79","13.32","13.54","52.91","49.21","-8.82","48.91","45","47","0","1","0.0","1","2","50.0","1","55","1.82","0","0","0.0"
"","Patrick Sanvido","D","WSR/SBY","20.219","52","2","3","2","5","7","43","4.65","0.04","0.06","0.04","0.1","0.13","0.83","716.14","13.77","0.17","0.25","0.17","0.42","0.59","3.6","12.86","13.61","46.9","49.44","13.33","55.22","37","30","0","0","0.0","0","2","0.0","2","41","4.88","0","0","0.0"
"","Calvin Martin","LW","SSM","17.002","39","4","1","2","5","7","25","16.0","0.1","0.03","0.05","0.13","0.18","0.64","276.03","7.08","0.87","0.22","0.43","1.09","1.52","5.43","13.34","12.8","53.39","49.89","13.66","70.59","12","5","3","7","42.86","1","5","20.0","0","13","0.0","1","4","25.0"
"","Nicolas Mattinen","D","LDN","18.536","66","2","3","2","5","7","103","1.94","0.03","0.05","0.03","0.08","0.11","1.56","789.9","11.97","0.15","0.23","0.15","0.38","0.53","7.82","13.34","13.56","60.38","49.31","-5.46","56.76","42","32","0","1","0.0","0","3","0.0","2","99","2.02","0","0","0.0"
"","Alex Black","D","PBO/SAR","19.012","65","1","4","2","5","7","43","2.33","0.02","0.06","0.03","0.08","0.11","0.66","877.98","13.51","0.07","0.27","0.14","0.34","0.48","2.94","13.35","13.65","49.27","50.45","-10.29","42.55","40","54","0","0","0.0","0","4","0.0","1","39","2.56","0","0","0.0"
"","Ben Fanjoy","C","OTT","19.354","24","4","1","2","5","7","28","14.29","0.17","0.04","0.08","0.21","0.29","1.17","243.46","10.14","0.99","0.25","0.49","1.23","1.73","6.9","13.39","13.67","48.47","47.19","3.21","52.17","12","11","2","6","33.33","1","5","20.0","1","17","5.88","43","78","55.13"
"","Nolan Gardiner","C","OTT","18.021","47","2","3","2","5","7","21","9.52","0.04","0.06","0.04","0.11","0.15","0.45","432.16","9.19","0.28","0.42","0.28","0.69","0.97","2.92","12.19","13.0","42.62","50.35","-18.83","31.43","11","24","0","1","0.0","2","7","28.57","0","13","0.0","7","16","43.75"
"","Daniel Robertson","D","WSR/OSH","19.286","53","1","4","2","5","7","53","1.89","0.02","0.08","0.04","0.09","0.13","1.0","680.2","12.83","0.09","0.35","0.18","0.44","0.62","4.68","13.06","13.51","50.37","48.94","7.32","51.56","33","31","0","1","0.0","0","1","0.0","1","51","1.96","0","0","0.0"
"","Markus Niemelainen","D","SAG","18.276","59","2","3","2","5","7","52","3.85","0.03","0.05","0.03","0.08","0.12","0.88","832.66","14.11","0.14","0.22","0.14","0.36","0.5","3.75","13.74","14.01","47.58","51.72","6.61","50.0","44","44","0","1","0.0","1","5","20.0","1","46","2.17","0","1","0.0"
"","Jake Bricknell","RW","GUE","19.174","26","3","2","1","5","6","34","8.82","0.12","0.08","0.04","0.19","0.23","1.31","251.91","9.69","0.71","0.48","0.24","1.19","1.43","8.1","13.21","13.51","40.85","52.62","-10.32","38.1","8","13","0","0","0.0","2","5","40.0","1","29","3.45","4","8","50.0"
"","Robert Proner","D","SAG/BAR","17.517","50","2","3","1","5","6","39","5.13","0.04","0.06","0.02","0.1","0.12","0.78","565.18","11.3","0.21","0.32","0.11","0.53","0.64","4.14","12.84","13.91","43.67","51.77","-13.64","36.36","20","35","0","0","0.0","0","1","0.0","2","38","5.26","0","0","0.0"
"","Justin Pringle","LW","KGN","16.526","63","3","2","1","5","6","54","5.56","0.05","0.03","0.02","0.08","0.1","0.86","576.18","9.15","0.31","0.21","0.1","0.52","0.62","5.62","13.34","13.25","43.31","49.88","-5.18","40.0","12","18","0","1","0.0","2","10","20.0","1","43","2.33","5","12","41.67"
"","Rhys Forhan","C","NB","16.666","44","2","3","1","5","6","24","8.33","0.05","0.07","0.02","0.11","0.14","0.55","374.44","8.51","0.32","0.48","0.16","0.8","0.96","3.85","13.12","13.47","39.14","47.2","-5.36","32.0","8","17","0","3","0.0","0","1","0.0","2","20","10.0","17","46","36.96"
"","Pavel Demin","C","NIAG","17.413","57","3","2","1","5","6","57","5.26","0.05","0.04","0.02","0.09","0.11","1.0","482.95","8.47","0.37","0.25","0.12","0.62","0.75","7.08","12.22","13.6","42.96","51.56","-24.06","25.71","9","26","0","3","0.0","0","8","0.0","3","46","6.52","63","152","41.45"
"","Cameron Lizotte","D","ER/BAR","19.064","49","2","3","1","5","6","37","5.41","0.04","0.06","0.02","0.1","0.12","0.76","582.94","11.9","0.21","0.31","0.1","0.51","0.62","3.81","12.81","13.58","46.91","51.71","-17.04","38.33","23","37","0","0","0.0","0","1","0.0","2","36","5.56","0","0","0.0"
"","Dane Johnstone","RW","FLNT","18.538","35","0","5","0","5","5","29","0.0","0.0","0.14","0.0","0.14","0.14","0.83","321.49","9.19","0.0","0.93","0.0","0.93","0.93","5.41","12.57","13.29","45.7","49.38","0.77","47.83","11","12","0","6","0.0","0","7","0.0","0","16","0.0","13","26","50.0"
"","Josh Nelson","C","LDN","17.309","39","4","1","0","5","5","25","16.0","0.1","0.03","0.0","0.13","0.13","0.64","323.24","8.29","0.74","0.19","0.0","0.93","0.93","4.64","13.05","13.28","59.56","49.11","-26.42","40.91","9","13","0","3","0.0","3","9","33.33","1","13","7.69","30","63","47.62"
"","Peter Stratis","D","OTT","16.663","49","1","3","8","4","12","38","2.63","0.02","0.06","0.16","0.08","0.24","0.78","612.5","12.5","0.1","0.29","0.78","0.39","1.18","3.72","13.26","13.57","48.92","49.96","3.29","50.85","30","29","0","0","0.0","0","2","0.0","1","36","2.78","0","1","0.0"
"","Brandon Prophet","D","PBO","20.288","60","1","3","7","4","11","73","1.37","0.02","0.05","0.12","0.07","0.18","1.22","959.8","16.0","0.06","0.19","0.44","0.25","0.69","4.56","13.09","13.65","49.19","49.56","-10.81","44.55","45","56","1","2","50.0","0","0","0.0","0","71","0.0","0","0","0.0"
"","Tyler Tucker","D","BAR","16.545","62","0","4","6","4","10","72","0.0","0.0","0.06","0.1","0.06","0.16","1.16","770.17","12.42","0.0","0.31","0.47","0.31","0.78","5.61","12.56","13.46","42.16","49.26","4.07","42.86","36","48","0","0","0.0","0","2","0.0","0","70","0.0","0","0","0.0"
"","Liam Murray","D","KGN","19.22","68","2","2","5","4","9","65","3.08","0.03","0.03","0.07","0.06","0.13","0.96","895.88","13.17","0.13","0.13","0.33","0.27","0.6","4.35","13.5","13.37","45.36","49.37","0.4","45.45","30","36","0","0","0.0","0","4","0.0","2","61","3.28","0","0","0.0"
"","Kelton Hatcher","D","SAR","17.413","58","0","4","4","4","8","22","0.0","0.0","0.07","0.07","0.07","0.14","0.38","754.02","13.0","0.0","0.32","0.32","0.32","0.64","1.75","13.08","13.59","49.43","49.8","-7.11","45.45","40","48","0","0","0.0","0","1","0.0","0","21","0.0","2","2","100.0"
"","Joshua Dame","LW","NIAG","18.536","61","2","2","3","4","7","28","7.14","0.03","0.03","0.05","0.07","0.11","0.46","497.7","8.16","0.24","0.24","0.36","0.48","0.84","3.38","12.0","13.46","39.6","50.53","-19.44","27.78","10","26","0","2","0.0","1","6","16.67","1","20","5.0","15","24","62.5"
"","Connor Schlichting","D","SAR","19.335","68","1","3","3","4","7","40","2.5","0.01","0.04","0.04","0.06","0.1","0.59","926.04","13.62","0.06","0.19","0.19","0.26","0.45","2.59","12.82","13.66","49.07","50.7","-11.54","41.07","46","66","0","1","0.0","0","2","0.0","1","37","2.7","2","6","33.33"
"","Michael Little","LW","MISS","16.57","48","1","3","3","4","7","30","3.33","0.02","0.06","0.06","0.08","0.15","0.62","389.79","8.12","0.15","0.46","0.46","0.62","1.08","4.62","12.78","13.04","48.9","47.23","-16.57","40.0","10","15","0","1","0.0","1","5","20.0","0","24","0.0","63","120","52.5"
"","William Lochead","D","NIAG","18.467","52","2","2","3","4","7","58","3.45","0.04","0.04","0.06","0.08","0.13","1.12","748.36","14.39","0.16","0.16","0.24","0.32","0.56","4.65","12.83","14.02","46.39","51.37","3.54","48.19","40","43","0","0","0.0","0","0","0.0","2","58","3.45","4","7","57.14"
"","Kyle Gentles","D","KIT","18.3","60","1","3","3","4","7","33","3.03","0.02","0.05","0.05","0.07","0.12","0.55","741.14","12.35","0.08","0.24","0.24","0.32","0.57","2.67","13.35","13.09","48.18","49.57","-4.5","44.59","33","41","0","1","0.0","1","4","25.0","0","28","0.0","0","1","0.0"
"","Jack Phibbs","LW","FLNT","17.536","54","2","2","3","4","7","53","3.77","0.04","0.04","0.06","0.07","0.13","0.98","444.29","8.23","0.27","0.27","0.41","0.54","0.95","7.16","12.58","13.62","47.28","51.52","-3.27","45.16","14","17","1","7","14.29","0","12","0.0","1","34","2.94","11","46","23.91"
"","Louis Latta","LW","SAR","18.111","57","3","1","2","4","6","39","7.69","0.05","0.02","0.04","0.07","0.11","0.68","471.9","8.28","0.38","0.13","0.25","0.51","0.76","4.96","13.16","13.47","49.0","53.0","-11.77","40.54","15","22","1","7","14.29","1","5","20.0","1","27","3.7","2","8","25.0"
"","Hakon Nilsen","D","FLNT","18.615","43","3","1","2","4","6","21","14.29","0.07","0.02","0.05","0.09","0.14","0.49","407.72","9.48","0.44","0.15","0.29","0.59","0.88","3.09","13.51","13.37","49.1","50.3","7.28","57.58","19","14","0","0","0.0","0","0","0.0","3","21","14.29","0","0","0.0"
"","Matthew Titus","RW","MISS","17.342","51","3","1","1","4","5","21","14.29","0.06","0.02","0.02","0.08","0.1","0.41","397.11","7.79","0.45","0.15","0.15","0.6","0.76","3.17","12.5","13.77","49.2","48.74","-31.37","27.27","6","16","1","2","50.0","2","5","40.0","0","14","0.0","0","0","0.0"
"","Ben Garagan","C","HAM/SBY","17.695","45","1","3","1","4","5","31","3.23","0.02","0.07","0.02","0.09","0.11","0.69","383.92","8.53","0.16","0.47","0.16","0.63","0.78","4.84","12.71","12.96","46.31","47.98","-3.07","46.43","13","15","0","3","0.0","0","7","0.0","1","21","4.76","31","75","41.33"
"","Luke Moncada","LW","GUE","16.301","37","0","4","1","4","5","31","0.0","0.0","0.11","0.03","0.11","0.14","0.84","314.36","8.5","0.0","0.76","0.19","0.76","0.95","5.92","12.66","13.39","37.04","55.66","-6.26","30.43","7","16","0","4","0.0","0","3","0.0","0","24","0.0","24","60","40.0"
"","Kyle Auger","D","OTT","17.706","46","2","2","1","4","5","37","5.41","0.04","0.04","0.02","0.09","0.11","0.8","559.84","12.17","0.21","0.21","0.11","0.43","0.54","3.97","12.75","13.4","46.73","50.31","-5.08","41.07","23","33","0","1","0.0","0","2","0.0","2","34","5.88","0","0","0.0"
"","Jonathan Yantsis","RW","KIT","17.388","24","3","1","1","4","5","17","17.65","0.12","0.04","0.04","0.17","0.21","0.71","248.88","10.37","0.72","0.24","0.24","0.96","1.21","4.1","13.05","12.93","45.49","50.39","-11.0","33.33","7","14","1","1","100.0","0","3","0.0","2","13","15.38","0","0","0.0"
"","Tyler Angle","C","WSR","15.962","41","2","2","0","4","4","12","16.67","0.05","0.05","0.0","0.1","0.1","0.29","325.93","7.95","0.37","0.37","0.0","0.74","0.74","2.21","12.98","13.15","50.7","50.16","-16.36","33.33","6","12","0","2","0.0","0","4","0.0","2","6","33.33","78","156","50.0"
"","Tyler Burnie","C","KGN","17.602","52","3","1","0","4","4","48","6.25","0.06","0.02","0.0","0.08","0.08","0.92","465.71","8.96","0.39","0.13","0.0","0.52","0.52","6.18","13.08","12.85","44.13","49.44","-10.43","36.0","9","16","3","6","50.0","0","10","0.0","0","32","0.0","141","271","52.03"
"","Trenton Bourque","D","OS","18.267","67","0","3","8","3","11","44","0.0","0.0","0.04","0.12","0.04","0.16","0.66","801.66","11.97","0.0","0.22","0.6","0.22","0.82","3.29","13.34","13.25","61.07","48.96","1.36","62.5","45","27","0","1","0.0","0","2","0.0","0","41","0.0","0","2","0.0"
"","Jacob Paquette","D","KGN","17.312","59","1","2","7","3","10","63","1.59","0.02","0.03","0.12","0.05","0.17","1.07","877.0","14.86","0.07","0.14","0.48","0.21","0.68","4.31","14.09","13.88","45.04","49.94","-18.45","34.33","23","44","0","1","0.0","0","2","0.0","1","60","1.67","0","1","0.0"
"","Andrew Burns","D","WSR/KIT","19.62","65","0","3","6","3","9","44","0.0","0.0","0.05","0.09","0.05","0.14","0.68","731.28","11.25","0.0","0.25","0.49","0.25","0.74","3.61","13.51","13.8","49.34","51.61","-4.94","44.83","26","32","0","1","0.0","0","3","0.0","0","40","0.0","3","11","27.27"
"","Ryan Orban","D","OTT","19.149","66","0","3","5","3","8","40","0.0","0.0","0.05","0.08","0.05","0.12","0.61","925.76","14.03","0.0","0.19","0.32","0.19","0.52","2.59","13.0","13.78","48.75","50.0","0.83","48.08","50","54","0","1","0.0","0","3","0.0","0","36","0.0","1","2","50.0"
"","Mark Shoemaker","D","NB","18.968","68","0","3","4","3","7","74","0.0","0.0","0.04","0.06","0.04","0.1","1.09","979.73","14.41","0.0","0.18","0.24","0.18","0.43","4.53","13.53","13.85","41.45","49.81","-8.51","34.95","36","67","0","2","0.0","0","1","0.0","0","71","0.0","0","1","0.0"
"","Sean Allen","D","OSH","18.407","50","1","2","4","3","7","22","4.55","0.02","0.04","0.08","0.06","0.14","0.44","579.02","11.58","0.1","0.21","0.41","0.31","0.73","2.28","12.8","13.24","48.26","48.0","4.38","50.0","27","27","1","3","33.33","0","0","0.0","0","19","0.0","0","0","0.0"
"","Stephen Templeton","D","HAM/OSH","19.639","58","1","2","4","3","7","51","1.96","0.02","0.03","0.07","0.05","0.12","0.88","668.59","11.53","0.09","0.18","0.36","0.27","0.63","4.58","12.68","13.29","50.06","48.72","-15.92","39.29","22","34","0","0","0.0","0","2","0.0","1","49","2.04","0","0","0.0"
"","Doug Blaisdell","D","KIT","19.571","15","1","2","3","3","6","9","11.11","0.07","0.13","0.2","0.2","0.4","0.6","213.18","14.21","0.28","0.56","0.84","0.84","1.69","2.53","13.64","13.76","49.09","49.92","-3.33","50.0","11","11","0","0","0.0","0","1","0.0","1","8","12.5","2","3","66.67"
"","Alex Gritz","C","SSM","16.003","37","2","1","2","3","5","33","6.06","0.05","0.03","0.05","0.08","0.14","0.89","296.95","8.03","0.4","0.2","0.4","0.61","1.01","6.67","13.22","12.91","53.92","49.0","-13.16","40.0","8","12","0","4","0.0","1","4","25.0","1","25","4.0","3","4","75.0"
"","Declan Chisholm","D","PBO","16.679","41","1","2","2","3","5","19","5.26","0.02","0.05","0.05","0.07","0.12","0.46","439.93","10.73","0.14","0.27","0.27","0.41","0.68","2.59","12.82","13.21","50.21","46.91","-0.99","50.0","18","18","0","0","0.0","0","1","0.0","1","18","5.56","0","1","0.0"
"","Carter Robertson","D","OTT","16.671","44","1","2","2","3","5","30","3.33","0.02","0.05","0.05","0.07","0.11","0.68","520.07","11.82","0.12","0.23","0.23","0.35","0.58","3.46","12.66","13.35","46.28","50.11","2.92","48.21","27","29","0","1","0.0","0","2","0.0","1","27","3.7","0","0","0.0"
"","Nathan Billitier","D","KGN","20.326","61","0","3","2","3","5","49","0.0","0.0","0.05","0.03","0.05","0.08","0.8","971.44","15.93","0.0","0.19","0.12","0.19","0.31","3.03","13.91","13.68","45.02","48.74","-8.44","39.51","32","49","0","0","0.0","0","3","0.0","0","46","0.0","1","1","100.0"
"","Marcus Dickerson","RW","MISS","18.651","52","2","1","2","3","5","59","3.39","0.04","0.02","0.04","0.06","0.1","1.13","504.47","9.7","0.24","0.12","0.24","0.36","0.59","7.02","13.54","13.59","51.88","49.75","-2.63","47.37","18","20","1","7","14.29","0","12","0.0","1","40","2.5","0","1","0.0"
"","Conor Ali","D","SBY","17.525","49","0","3","2","3","5","21","0.0","0.0","0.06","0.04","0.06","0.1","0.43","474.0","9.67","0.0","0.38","0.25","0.38","0.63","2.66","12.69","13.02","43.56","49.77","4.59","47.37","18","20","0","0","0.0","0","2","0.0","0","19","0.0","0","0","0.0"
"","Riley Bruce","D","NB","19.171","41","1","2","2","3","5","27","3.7","0.02","0.05","0.05","0.07","0.12","0.66","600.47","14.65","0.1","0.2","0.2","0.3","0.5","2.7","13.6","13.92","42.45","51.23","-2.5","41.94","26","36","0","0","0.0","0","0","0.0","1","27","3.7","0","0","0.0"
"","Carson Edwardson","C","ER","17.273","36","2","1","1","3","4","29","6.9","0.06","0.03","0.03","0.08","0.11","0.81","260.09","7.22","0.46","0.23","0.23","0.69","0.92","6.69","13.33","13.59","52.38","52.05","-3.73","57.14","8","6","0","3","0.0","1","4","25.0","1","22","4.55","7","13","53.85"
"","Jacob Stos","LW","SAR","18.295","29","2","1","1","3","4","23","8.7","0.07","0.03","0.03","0.1","0.14","0.79","218.29","7.53","0.55","0.27","0.27","0.82","1.1","6.32","12.69","13.41","48.47","47.96","12.84","61.54","8","5","0","0","0.0","2","9","22.22","0","14","0.0","0","1","0.0"
"","William Brown","D","OTT","18.374","20","0","3","1","3","4","15","0.0","0.0","0.15","0.05","0.15","0.2","0.75","253.39","12.67","0.0","0.71","0.24","0.71","0.95","3.55","12.8","13.61","47.38","47.7","-5.67","42.86","12","16","0","0","0.0","0","0","0.0","0","15","0.0","0","0","0.0"
"","Jakob Brahaney","D","KGN","17.479","53","1","2","1","3","4","42","2.38","0.02","0.04","0.02","0.06","0.08","0.79","585.39","11.05","0.1","0.2","0.1","0.31","0.41","4.3","13.63","13.1","44.27","48.07","17.83","58.97","23","16","0","0","0.0","0","1","0.0","1","41","2.44","0","0","0.0"
"","Jake Ramalho","D","MISS","18.314","40","0","3","1","3","4","14","0.0","0.0","0.07","0.03","0.07","0.1","0.35","340.48","8.51","0.0","0.53","0.18","0.53","0.7","2.47","12.39","13.69","48.34","49.06","-21.47","29.17","7","17","0","0","0.0","0","0","0.0","0","14","0.0","0","3","0.0"
"","Quinn Hanna","D","GUE","17.427","37","1","2","1","3","4","25","4.0","0.03","0.05","0.03","0.08","0.11","0.68","361.63","9.77","0.17","0.33","0.17","0.5","0.66","4.15","13.05","13.5","41.44","51.52","7.59","44.83","13","16","0","1","0.0","0","2","0.0","1","22","4.55","0","0","0.0"
"","Nolan Makkonen","D","GUE","17.607","28","1","2","1","3","4","21","4.76","0.04","0.07","0.04","0.11","0.14","0.75","369.55","13.2","0.16","0.32","0.16","0.49","0.65","3.41","12.89","13.99","40.1","55.35","-6.23","32.56","14","29","0","0","0.0","0","0","0.0","1","21","4.76","0","0","0.0"
"","Mike Baird","LW","WSR","19.48","18","1","2","0","3","3","12","8.33","0.06","0.11","0.0","0.17","0.17","0.67","178.48","9.92","0.34","0.67","0.0","1.01","1.01","4.03","12.37","12.8","49.37","50.57","-38.07","18.18","2","9","1","2","50.0","0","1","0.0","0","9","0.0","1","2","50.0"
"","Richard Whittaker","LW","LDN","16.441","11","1","2","0","3","3","7","14.29","0.09","0.18","0.0","0.27","0.27","0.64","83.0","7.55","0.72","1.45","0.0","2.17","2.17","5.06","11.46","12.37","53.49","45.09","1.67","60.0","3","2","0","0","0.0","0","1","0.0","1","6","16.67","0","0","0.0"
"","Sam Bitten","C","OTT","16.49","14","2","1","0","3","3","4","50.0","0.14","0.07","0.0","0.21","0.21","0.29","100.1","7.15","1.2","0.6","0.0","1.8","1.8","2.4","12.84","13.15","43.58","49.19","26.06","75.0","3","1","0","0","0.0","2","3","66.67","0","1","0.0","28","59","47.46"
